,Is It Wicked Not to Care?_Belle and Sebastian
0,wicked
1,care
2,say
3,mistaken
4,thinking
5,hopes
6,lots
7,dreams
8,wicked
9,care
10,wasted
11,many
12,hours
13,talking
14,endlessly
15,anyone
16,that's
17,know
18,truth
19,awaits
20,still
21,hesitate
22,fear
23,skipping
24,tickets
25,making
26,rhymes
27,believe
28,wearing
29,rags
30,make
31,pretty
32,design
33,rusting
34,armor
35,effect
36,fun
37,watch
38,rust
39,grow
40,dead
41,counting
42,acts
43,clutching
44,thoughts
45,river
46,moss
47,grows
48,rocks
49,water
50,running
51,time
52,wicked
53,smile
54,even
55,though
56,feel
57,like
58,crying
59,even
60,though
61,could
62,sick
63,time
64,sequel
65,would
66,love
67,equal
68,would
69,love
70,till
71,i'm
72,dead
73,sequel
74,would
75,love
76,like
77,equal
78,would
79,love
80,till
81,i'm
82,dead
83,sequel
84,would
85,love
86,equal
87,would
88,love
89,till
90,i'm
91,dead
92,someone
93,else
94,instead
