,The Only Hope for Me Is You_My Chemical Romance
0,remember
1,remember
2,remember
3,remember
4,remember
5,remember
6,stand
7,lights
8,go
9,across
10,city
11,streets
12,embers
13,fell
14,still
15,remember
16,covered
17,ash
18,covered
19,glass
20,covered
21,friends
22,still
23,think
24,bombs
25,built
26,there's
27,place
28,could
29,i'd
30,another
31,memory
32,hope
33,hope
34,can't
35,find
36,belong
37,we'll
38,make
39,face
40,pain
41,take
42,hope
43,alone
44,would
45,many
46,years
47,disasters
48,we've
49,seen
50,learned
51,people
52,burn
53,purifying
54,flame
55,i'll
56,say
57,okay
58,know
59,tell
60,though
61,see
62,smile
63,still
64,think
65,guns
66,sell
67,there's
68,place
69,could
70,i'd
71,another
72,memory
73,hope
74,hope
75,can't
76,find
77,belong
78,we'll
79,make
80,face
81,pain
82,take
83,hope
84,alone
85,bridge
86,hope
87,hope
88,hope
89,hope
90,hope
91,hope
92,there's
93,place
94,could
95,i'd
96,another
97,memory
98,hope
99,hope
100,can't
101,find
102,belong
103,we'll
104,make
105,face
106,pain
107,take
108,hope
109,alone
110,post-chorus
111,hope
112,hope
113,remember
114,hope
115,hope
116,alone
117,remember
118,hope
119,hope
120,remember
121,hope
122,hope
123,alone
124,remember
125,guitar
126,solo
127,outro
128,remember
129,remember
130,remember
131,remember
