,Come Together_Spiritualized
0,little
1,johnny's
2,sad
3,fucked
4,first
5,jumped
6,looked
7,tracks
8,time
9,tracks
10,mine
11,little
12,johnny's
13,occupied
14,come
15,come
16,together
17,come
18,come
19,together
20,well
21,little
22,johnny
23,ache
24,hung
25,around
26,poor
27,boy's
28,neck
29,every
30,time
31,johnny
32,ate
33,little
34,fucker
35,fed
36,ache
37,come
38,come
39,together
40,come
41,come
42,together
43,little
44,j's
45,fucked
46,boy
47,dulled
48,pain
49,killed
50,joy
51,little
52,j's
53,fuckin'
54,mess
55,he's
56,offered
57,says
58,yes
59,little
60,j
61,sad
62,fucked
63,first
64,jumped
65,looked
66,tracks
67,time
68,tracks
69,mine
70,little
71,j
72,occupied
73,/
74,outro
75,come
76,come
77,together
