,Transatlanticism_Death Cab for Cutie
0,atlantic
1,born
2,today
3,i'll
4,tell
5,you
6,clouds
7,opened
8,let
9,i
10,standing
11,surface
12,perforated
13,sphere
14,water
15,filled
16,every
17,hole
18,thousands
19,upon
20,thousands
21,made
22,ocean
23,making
24,islands
25,island
26,go
27,oh
28,people
29,overjoyed
30,took
31,boats
32,i
33,thought
34,less
35,like
36,lake
37,like
38,moat
39,rhythm
40,my
41,footsteps
42,crossing
43,flatlands
44,your
45,door
46,silenced
47,forevermore
48,distance
49,quite
50,simply
51,much
52,far
53,me
54,row
55,seems
56,farther
57,ever
58,oh
59,refrain
60,i
61,need
62,you
63,much
64,closer
65,i
66,need
67,you
68,much
69,closer
70,i
71,need
72,you
73,much
74,closer
75,i
76,need
77,you
78,much
79,closer
80,i
81,need
82,you
83,much
84,closer
85,i
86,need
87,you
88,much
89,closer
90,i
91,need
92,you
93,much
94,closer
95,i
96,need
97,you
98,much
99,closer
100,instrumental
101,interlude
102,refrain
103,i
104,need
105,you
106,much
107,closer
108,i
109,need
110,you
111,much
112,closer
113,i
114,need
115,you
116,much
117,closer
118,i
119,need
120,you
121,much
122,closer
123,come
124,come
125,come
126,come
127,come
128,come
129,come
130,come
