,The Way I Feel Inside_The Zombies
0,i
1,try
2,hide
3,way
4,i
5,feel
6,inside
7,my
8,heart
9,you
10,would
11,you
12,say
13,you
14,would
15,try
16,love
17,me
18,your
19,mind
20,could
21,you
22,ever
23,really
24,close
25,me
26,i
27,tell
28,way
29,you
30,smile
31,i
32,feel
33,i
34,could
35,certain
36,i
37,would
38,say
39,things
40,i
41,want
42,say
43,tonight
44,'til
45,i
46,see
47,you'd
48,really
49,care
50,me
51,i
52,dream
53,someday
54,you'll
55,really
56,close
57,me
58,i
59,tell
60,way
61,you
62,smile
63,i
64,feel
65,i
66,could
67,certain
68,i
69,would
70,say
71,things
72,i
73,want
74,say
75,tonight
76,'til
77,i
78,see
79,you'd
80,really
81,care
82,me
83,i'll
84,keep
85,trying
86,hide
87,way
88,i
89,feel
90,inside
