,No Woman_Whitney
0,i
1,left
2,drinking
3,city
4,train
5,spend
6,time
7,road
8,one
9,morning
10,i
11,woke
12,la
13,caught
14,my
15,breath
16,coast
17,i've
18,going
19,change
20,i
21,might
22,never
23,sure
24,i'm
25,walking
26,haze
27,i'm
28,ready
29,turn
30,woman
31,woman
32,midnight
33,driving
34,bay
35,going
36,back
37,road
38,coming
39,i
40,wish
41,i
42,could
43,stay
44,i've
45,sleeping
46,alone
47,i've
48,going
49,change
50,i
51,might
52,never
53,sure
54,i'm
55,walking
56,haze
57,i'm
58,ready
59,turn
60,woman
61,woman
62,i
63,left
64,drinking
65,city
66,train
67,spend
68,time
69,road
