,shhh.. Just listEn :)_A Rocket to the Moon
0,fade
1,ext
2,winter
3,river
4,connecticut
5,day
6,crisp
7,perfect
8,new
9,england
10,town
11,almost
12,neat
13,real
14,visible
15,townspeople
16,camera
17,explores
18,town
19,camera
20,flies
21,rickety
22,past
23,maitland
24,hardware
25,appliance
26,store
27,past
28,church
29,historical
30,society
31,graveyard
32,hill
33,finally
34,maitland
35,house
36,perfect
37,victorian
38,house
39,surveying
40,tiny
41,village
42,suddenly
43,giant
44,daddy
45,longlegs
46,spider
47,mounts
48,crest
49,hill
50,beside
51,house
52,pauses
53,wave
54,spindly
55,leg
56,creeps
57,menacingly
58,top
59,maitland
60,house
61,adam
62,os
63,well
64,well
65,big
66,fella
67,hand
68,big
69,god's
70,huge
71,tweezer
72,gently
73,reaches
74,sky
75,lies
76,palm
77,yard
78,next
79,house
80,daddy
81,longlegs
82,climbs
83,hand
84,rises
85,sky
86,int
87,attic
88,new
89,angle
90,day
91,reveals
92,winter
93,river
94,miniature
95,town
96,daddy
97,longlegs
98,hand
99,normal
100,size
101,model
102,homely
103,representation
104,moon
105,sun
106,stars
107,whole
108,tiny
109,mechanical
110,universe
111,track
112,hours
113,day
114,large
115,plat
116,map
117,city
118,prominent
119,wall
120,hand
121,adam
122,maitland's
123,late
124,30's
125,he's
126,solid
127,easygoing
128,citizen
129,capra
130,used
131,make
132,movies
133,adam's
134,model
135,town
136,sprawls
137,across
138,attic
139,space
140,windows
141,either
142,end
143,attic
144,shed
145,good
146,light
147,warm
148,room
149,adam
150,carefully
151,lifts
152,spider
153,open
154,window
155,smiles
156,drips
157,lightly
158,breeze
159,camera
160,tilts
161,window
162,see
163,real
164,winter
165,river
166,laid
167,exactly
168,model
169,foot
170,hill
171,adam
172,breathes
173,deeply
174,looks
175,pleased
176,glorious
177,town
178,huge
179,hand
180,reaches
181,model
182,tweezes
183,tiny
184,sign
185,tiny
186,window
187,maitland's
188,hardware
189,store
190,main
191,street
192,reads
193,adam
194,barbara
195,maitland
196,vacation
197,hooray
198,adam
199,leans
200,eyes
201,sign
202,barbara
203,behind
204,i'm
205,ready
206,adam
207,turns
208,see
209,entering
210,barbara
211,maitland
212,wholesome
213,beauty
214,mellowing
215,well
216,smiles
217,perhaps
218,certain
219,tinge
220,sadness
221,children
222,adam
223,happy
224,see
225,ready
226,barbara
227,eyeing
228,model
229,looks
230,great
231,adam
232,nodding
233,thanks
234,pushes
235,wrapped
236,present
237,across
238,table
239,barbara
240,happy
241,vacation
242,honey
243,adam
244,smiles
245,gives
246,present
247,he's
248,hidden
249,table
250,opens
251,present
252,furniture
253,oil
254,adam
255,manchurian
256,tung
257,oil
258,playfully
259,grabs
260,barbara
261,kisses
262,get
263,barbara
264,helen
265,got
266,oslo
267,there's
268,enough
269,refinish
270,gateleg
271,table
272,cherry
273,wardrobe
274,adam
275,hands
276,barbara
277,carefullywrapped
278,bundle
279,unwraps
280,gift
281,rolls
282,expensive
283,floral
284,wallpaper
285,cradles
286,arms
287,like
288,gold
289,leaf
