,Get Gone_Fiona Apple
0,many
1,times
2,i
3,say
4,get
5,away
6,get
7,gone
8,flip
9,your
10,shit
11,past
12,another
13,lass's
14,humble
15,dwelling
16,you
17,got
18,your
19,game
20,made
21,your
22,shot
23,you
24,got
25,away
26,lot
27,i'm
28,turned
29,put
30,away
31,meat
32,you're
33,selling
34,prechorus
35,cause
36,i
37,know
38,what's
39,good
40,me
41,i've
42,done
43,i
44,could
45,you
46,you're
47,benefiting
48,yet
49,i'm
50,sitting
51,singing
52,sing
53,sing
54,i
55,deal
56,he
57,get
58,i
59,gonna
60,heal
61,he
62,admit
63,nothing
64,figure
65,i
66,gotta
67,get
68,him
69,time
70,truth
71,he
72,give
73,shit
74,me
75,prechorus
76,cause
77,i
78,know
79,what's
80,good
81,me
82,i've
83,done
84,i
85,could
86,you
87,you're
88,benefiting
89,yet
90,i'm
91,sitting
92,singing
93,sing
94,sing
95,i
96,deal
97,he
98,get
99,i
100,gonna
101,heal
102,he
103,admit
104,nothing
105,figure
106,i
107,gotta
108,get
109,him
110,it’s
111,time
112,truth
113,he
114,give
115,shit
116,me
117,many
118,times
119,escalate
120,till
121,elevates
122,place
123,i
124,can't
125,breathe
126,i
127,must
128,decide
129,you
130,must
131,deride
132,i'm
133,much
134,obliged
135,go
136,i'll
137,idealize
138,realize
139,sacrifice
140,price
141,paid
142,there's
143,nothing
144,left
145,grieve
146,fuckin'
147,go
148,prechorus
149,cause
150,i've
151,done
152,i've
153,could
154,you
155,i
156,know
157,what's
158,good
159,me
160,i'm
161,benefiting
162,instead
163,i'm
164,sitting
165,singing
166,singing
167,singing
168,sing
169,sing
170,i
171,deal
172,he
173,get
174,i
175,gonna
176,heal
177,he
178,admit
179,nothing
180,figure
181,i
182,gotta
183,get
184,him
185,time
186,truth
187,he
188,give
189,shit
190,me
191,i
192,deal
193,he
194,get
195,i
196,gonna
197,heal
198,he
199,admit
200,nothing
201,figure
202,i
203,gotta
204,get
205,him
206,time
207,truth
208,he
209,give
210,shit
211,me
