,The Ghost of You_My Chemical Romance
0,i
1,never
2,said
3,i'd
4,lie
5,wait
6,forever
7,i
8,died
9,we'd
10,together
11,i
12,can't
13,always
14,forget
15,her
16,she
17,could
18,try
19,end
20,world
21,last
22,thing
23,i
24,see
25,you
26,never
27,coming
28,home
29,never
30,coming
31,home
32,could
33,i
34,i
35,things
36,you
37,never
38,ever
39,told
40,me
41,smiles
42,ever
43,ever
44,ever
45,get
46,feeling
47,you're
48,never
49,alone
50,i
51,remember
52,top
53,my
54,lungs
55,my
56,arms
57,she
58,dies
59,she
60,dies
61,end
62,world
63,last
64,thing
65,i
66,see
67,you
68,never
69,coming
70,home
71,never
72,coming
73,home
74,could
75,i
76,i
77,things
78,you
79,never
80,ever
81,told
82,me
83,smiles
84,ever
85,gonna
86,haunt
87,me
88,never
89,coming
90,home
91,never
92,coming
93,home
94,could
95,i
96,i
97,wounds
98,ever
99,gonna
100,scar
101,me
102,ghosts
103,never
104,gonna
105,catch
106,me
107,i
108,fall
109,i
110,fall
111,woah
112,woah
113,woah
114,woah
115,woah
116,woah
117,woah
118,woah
119,end
120,world
121,last
122,thing
123,i
124,see
125,you
126,never
127,coming
128,home
129,never
130,coming
131,home
132,never
133,coming
134,home
135,never
136,coming
137,home
138,things
139,you
140,never
141,ever
142,told
143,me
144,smiles
145,ever
146,going
147,haunt
148,me
149,never
150,coming
151,home
152,never
153,coming
154,home
155,could
156,i
157,i
158,wounds
159,ever
160,gonna
161,scar
162,me
163,ghosts
164,never
165,gonna
166,instrumental
