,The Look Of Love_Dusty Springfield
0,look
1,love
2,your
3,eyes
4,look
5,your
6,heart
7,can't
8,disguise
9,look
10,love
11,saying
12,much
13,words
14,could
15,every
16,say
17,my
18,heart
19,heard
20,well
21,takes
22,my
23,breath
24,away
25,i
26,hardly
27,wait
28,hold
29,you
30,feel
31,my
32,arms
33,around
34,you
35,long
36,i
37,waited
38,waited
39,love
40,you
41,i
42,found
43,you
44,you've
45,got
46,look
47,love
48,your
49,face
50,look
51,time
52,can't
53,erase
54,mine
55,tonight
56,let
57,start
58,many
59,nights
60,like
61,let's
62,take
63,lovers
64,vow
65,seal
66,kiss
67,i
68,hardly
69,wait
70,hold
71,you
72,feel
73,my
74,arms
75,around
76,you
77,long
78,i
79,waited
80,waited
81,love
82,you
83,i
84,found
85,you
86,ever
87,go
88,i
89,hardly
90,wait
91,hold
92,you
93,feel
94,my
95,arms
96,around
97,you
98,long
99,i
100,waited
101,waited
102,love
103,you
104,i
105,found
106,you
107,ever
108,go
109,ever
110,go
111,i
112,love
113,you
114,sooo
