,Girls/Girls/Boys_Panic! at the Disco
0,want
1,hear
2,got
3,boyfriend
4,sometimes
5,better
6,alone
7,change
8,mind
9,know
10,yeah
11,change
12,mind
13,know
14,find
15,ever
16,want
17,boyfriend
18,pre-chorus
19,never
20,think
21,would
22,caught
23,way
24,got
25,push
26,another
27,girl
28,aside
29,give
30,girls
31,love
32,girls
33,boys
34,sophisticated
35,manipulated
36,girls
37,love
38,girls
39,boys
40,sophisticated
41,manipulated
42,never
43,think
44,would
45,caught
46,way
47,got
48,girls
49,love
50,girls
51,boys
52,love
53,choice
54,pose
55,gotta
56,save
57,reputation
58,they're
59,close
60,finding
61,girlfriend
62,change
63,mind
64,know
65,yeah
66,change
67,mind
68,know
69,find
70,want
71,save
72,reputation
73,pre-chorus
74,never
75,think
76,would
77,caught
78,way
79,got
80,push
81,another
82,girl
83,aside
84,give
85,girls
86,love
87,girls
88,boys
89,sophisticated
90,manipulated
91,girls
92,love
93,girls
94,boys
95,sophisticated
96,manipulated
97,never
98,think
99,would
100,caught
101,way
102,got
103,girls
104,love
105,girls
106,boys
107,love
108,choice
109,bridge
110,i'm
111,villain
112,vying
113,attention
114,girl
115,girl
116,can't
117,decide
118,here's
119,reason
120,girls
121,love
122,girls
123,boys
124,sophisticated
125,manipulated
126,girls
127,love
128,girls
129,boys
130,sophisticated
131,manipulated
132,girls
133,love
134,girls
135,boys
136,sophisticated
137,manipulated
138,girls
139,love
140,girls
141,boys
142,sophisticated
143,manipulated
144,never
145,think
146,would
147,caught
148,way
149,got
150,girls
151,love
152,girls
153,boys
154,love
155,choice
