,You're a God_Vertical Horizon
0,i've
1,got
2,honest
3,i
4,think
5,you
6,know
7,we're
8,covered
9,lies
10,that's
11,okay
12,there's
13,somewhere
14,beyond
15,i
16,know
17,i
18,hope
19,i
20,find
21,words
22,say
23,never
24,never
25,'cause
26,you're
27,god
28,i
29,i
30,thought
31,you
32,would
33,know
34,you're
35,god
36,i
37,i
38,thought
39,i'd
40,let
41,you
42,go
43,though
44,i've
45,unable
46,put
47,you
48,i'm
49,still
50,learnin'
51,things
52,i
53,ought
54,know
55,table
56,i
57,need
58,somethin'
59,show
60,somehow
61,never
62,never
63,'cause
64,you're
65,god
66,i
67,i
68,thought
69,you
70,would
71,know
72,you're
73,god
74,i
75,i
76,thought
77,i'd
78,let
79,you
80,go
81,i've
82,got
83,honest
84,i
85,think
86,you
87,know
88,we're
89,covered
90,lies
91,that's
92,okay
93,there's
94,somewhere
95,beyond
96,thisi
97,know
98,i
99,hope
100,i
101,find
102,words
103,say
104,never
105,never
106,'cause
107,you're
108,god
109,i
110,i
111,thought
112,you
113,would
114,know
115,you're
116,god
117,i
118,i
119,thought
120,i'd
121,let
122,you
123,go
124,you're
125,god
126,oh
127,i
128,i
129,thought
130,you
131,would
132,know
133,oh
134,i
135,thought
136,would
137,you
138,know
139,you're
140,god
141,oh
142,i
143,i
144,thought
145,i'd
146,let
147,you
148,go
