,Jealous_Labrinth
0,i'm
1,jealous
2,rain
3,falls
4,upon
5,skin
6,closer
7,hands
8,i'm
9,jealous
10,rain
11,i'm
12,jealous
13,wind
14,ripples
15,clothes
16,closer
17,shadow
18,oh
19,i'm
20,jealous
21,wind
22,wished
23,best
24,world
25,could
26,give
27,told
28,left
29,there's
30,nothing
31,forgive
32,always
33,thought
34,come
35,back
36,tell
37,found
38,heartbreak
39,misery
40,hard
41,say
42,i'm
43,jealous
44,way
45,happy
46,without
47,i'm
48,jealous
49,nights
50,spend
51,i'm
52,wondering
53,lay
54,next
55,oh
56,i'm
57,jealous
58,nights
59,i'm
60,jealous
61,love
62,love
63,gone
64,someone
65,else
66,share
67,oh
68,i'm
69,jealous
70,love
71,cause
72,wished
73,best
74,world
75,could
76,give
77,told
78,left
79,there's
80,nothing
81,forgive
82,always
83,thought
84,come
85,back
86,tell
87,found
88,heartbreak
89,misery
90,hard
91,say
92,i'm
93,jealous
94,way
95,happy
96,without
97,bridge
98,sink
99,sand
100,watch
101,slip
102,hands
103,oh
104,die
105,another
106,day
107,cause
108,cry
109,behind
110,smile
111,wished
112,best
113,world
114,could
115,give
116,told
117,left
118,there's
119,nothing
120,forgive
121,always
122,thought
123,come
124,back
125,tell
126,found
127,heartbreak
128,misery
129,hard
130,say
131,i'm
132,jealous
133,way
134,happy
135,without
136,me-e-e-eee
137,outro
138,hard
139,say
140,i'm
141,jealous
142,way
143,happy
144,without
