,Between Two Points (feat. Swan)_The Glitch Mob
0,we've
1,got
2,forever
3,slipping
4,hands
5,we've
6,got
7,time
8,never
9,understand
10,falling
11,footsteps
12,weighing
13,heavy
14,behind
15,darkness
16,beneath
17,candles
18,whispers
19,waltz
20,around
21,dreams
22,shortest
23,distance
24,two
25,points
26,line
27,feet
28,turning
29,black
30,path
31,must
32,walk
33,turning
34,back
35,wish
36,could
37,hear
38,talk
39,something
40,like
41,pulled
42,feet
43,leaving
44,skin
45,burning
46,coals
47,meet
48,tell
49,shortest
50,distance
51,two
52,points
53,line
