,Nightmusic (feat. Majical Cloudz)_Grimes
0,she'd
1,she'd
2,sun
3,love
4,could
5,always
6,may
7,come
8,go
9,you
10,wanna
11,say
12,oh
13,guys
14,wanna
15,say
16,anything
17,front
18,me
19,love
20,you
21,wanna
22,say
23,oh
24,guys
25,wanna
26,say
27,everything
28,i
29,wanna
30,say
31,i
32,wanna
33,say
34,i
35,wanna
36,say
37,she'd
38,she'd
39,sun
40,love
41,could
42,always
43,may
44,come
45,go
46,night
47,oh
48,refrain
49,i’ve
50,run
51,snow
52,you’ve
53,liking
54,anywhere
55,go
56,reversed
57,tonight's
58,night
59,i’m
60,waiting
61,you
62,tonight's
63,night
64,i’m
65,left
66,sitting
67,storms
68,come
69,water
70,meant
71,carry
72,me
73,never
74,knowing
75,we’re
76,going
77,around
78,world
79,interlude
80,tonight’s
81,night
82,i
83,waited
84,'til
85,end
86,tonight’s
87,night
88,i
89,say
90,it’s
91,fair
92,it’s
93,underwater
94,you
95,got
96,her
97,you
98,would
99,never
100,let
101,her
102,go
103,oh
104,woahoh
105,tonight’s
106,night
107,i
108,waited
109,'til
110,end
111,tonight’s
112,night
113,i
114,say
115,it’s
116,fair
117,it’s
118,underwater
119,you
120,got
121,her
122,you
123,would
124,never
125,let
126,her
127,go
128,oh
129,woahoh
130,she'd
131,she'd
132,sun
133,love
134,could
135,always
136,may
137,come
138,go
139,you
140,wanna
141,say
142,oh
143,guys
144,wanna
145,say
146,anything
147,front
148,me
149,love
150,you
151,wanna
152,say
153,oh
154,guys
155,wanna
156,say
157,everything
158,i
159,wanna
160,say
161,i
162,wanna
163,say
164,i
165,wanna
166,say
167,she'd
168,she'd
169,sun
170,love
171,could
172,always
173,may
174,come
175,go
176,night
177,oh
178,i
179,sleep
180,day
181,dance
182,night
183,i
184,sleep
185,day
186,dance
187,night
188,i
189,sleep
190,day
191,dance
192,night
193,i
194,sleep
195,day
196,dance
197,night
