,Be Still_The Killers
0,still
1,go
2,bed
3,nobody
4,knows
5,lies
6,ahead
7,life
8,short
9,say
10,least
11,we're
12,belly
13,beast
14,still
15,wild
16,young
17,long
18,may
19,innocence
20,reign
21,like
22,shells
23,shore
24,may
25,limits
26,unknown
27,may
28,efforts
29,ever
30,feel
31,can't
32,take
33,anymore
34,break
35,character
36,got
37,lot
38,heart
39,real
40,dream
41,rise
42,like
43,sun
44,labor
45,till
46,work
47,done
48,still
49,one
50,day
51,lead
52,fearlessness
53,sleeve
54,come
55,back
56,tell
57,see
58,something
59,still
60,close
61,eyes
62,soon
63,enough
64,steady
65,straight
66,drag
67,mud
68,change
69,what's
70,blood
71,rock
72,chain
73,knock
74,break
75,character
76,got
77,lot
78,heart
79,real
80,dream
81,rise
82,like
83,sun
84,labor
85,till
86,work
87,done
88,bridge
89,rock
90,chain
91,sunset
92,plane
93,trap
94,snare
95,deep
96,wildest
97,dreams
98,made
99,schemes
100,knock
101,knock
102,break
103,character
104,got
105,lot
106,heart
107,real
108,dream
109,rise
110,like
111,sun
112,labor
113,till
114,work
115,done
