,You Could Be Happy_Snow Patrol
0,could
1,happy
2,know
3,happy
4,day
5,watched
6,go
7,things
8,wished
9,said
10,played
11,loops
12,'till
13,madness
14,head
15,late
16,remind
17,last
18,days
19,silence
20,screaming
21,blurred
22,remember
23,makes
24,sure
25,stopped
26,walking
27,door
28,could
29,happy
30,hope
31,made
32,happier
33,i'd
34,far
35,somehow
36,everything
37,smells
38,tiniest
39,moment
40,true
41,things
42,always
43,wanted
44,without
45,hold
46,back
47,think
48,anything
49,want
50,see
51,girl
52,take
53,glorious
54,bite
55,whole
56,world
