,Candy_Robbie Williams
0,i
1,witness
2,candice's
3,inner
4,business
5,she
6,wants
7,boys
8,notice
9,her
10,rainbows
11,her
12,ponies
13,she
14,educated
15,could
16,count
17,ten
18,she
19,got
20,lots
21,different
22,horses
23,lots
24,different
25,men
26,prechorus
27,i
28,say
29,liberate
30,your
31,sons
32,daughters
33,bush
34,high
35,hole
36,there's
37,water
38,you
39,get
40,give
41,nothing
42,sacred
43,living
44,hey
45,ho
46,she
47,goes
48,either
49,little
50,high
51,little
52,low
53,got
54,selfesteem
55,vertigo
56,cause
57,she
58,thinks
59,made
60,candy
61,hey
62,ho
63,she
64,goes
65,either
66,little
67,loud
68,little
69,close
70,got
71,hurricane
72,back
73,her
74,throat
75,she
76,thinks
77,made
78,candy
79,ring
80,ring
81,roses
82,whoever
83,gets
84,closest
85,she
86,comes
87,she
88,goes
89,war
90,roses
91,mother
92,victim
93,father
94,beat
95,system
96,moving
97,bricks
98,brixton
99,learning
100,fix
101,prechorus
102,liberate
103,your
104,sons
105,daughters
106,bush
107,high
108,hole
109,there's
110,water
111,you
112,she'll
113,whole
114,law
115,feel
116,good
117,you
118,tell
119,me
120,hey
121,ho
122,she
123,goes
124,either
125,little
126,high
127,little
128,low
129,got
130,selfesteem
131,vertigo
132,cause
133,she
134,thinks
135,made
136,candy
137,hey
138,ho
139,she
140,goes
141,either
142,little
143,loud
144,little
145,close
146,there's
147,hurricane
148,back
149,her
150,throat
151,she
152,thinks
153,made
154,candy
155,prechorus
156,liberate
157,your
158,sons
159,daughters
160,bush
161,high
162,hole
163,there's
164,water
165,you
166,she'll
167,whole
168,law
169,you
170,feel
171,good
172,you
173,you
174,you
175,hey
176,ho
177,she
178,goes
179,either
180,little
181,high
182,little
183,low
184,got
185,selfesteem
186,vertigo
187,cause
188,she
189,thinks
190,made
191,candy
192,hey
193,ho
194,she
195,goes
196,either
197,little
198,loud
199,little
200,close
201,got
202,hurricane
203,back
204,her
205,throat
206,she
207,thinks
208,made
209,candy
210,hey
211,ho
212,she
213,goes
214,either
215,little
216,high
217,little
218,low
219,got
220,selfesteem
221,vertigo
222,cause
223,she
224,thinks
225,made
226,candy
227,hey
228,ho
229,she
230,goes
231,either
232,little
233,loud
234,little
235,close
236,got
237,hurricane
238,back
239,her
240,throat
241,she
242,thinks
243,made
244,candy
