,Let It Down_George Harrison
0,though
1,you
2,sit
3,another
4,chair
5,i
6,feel
7,you
8,looking
9,like
10,i
11,care
12,i
13,i
14,hiding
15,behind
16,anything
17,i
18,see
19,someone
20,looking
21,me
22,i
23,occupy
24,my
25,mind
26,i
27,feel
28,you
29,love
30,us
31,well
32,timed
33,i
34,i
35,wasting
36,away
37,moments
38,heavenly
39,someone
40,looking
41,me
42,let
43,let
44,let
45,your
46,hair
47,hang
48,around
49,me
50,let
51,let
52,let
53,your
54,love
55,flow
56,astound
57,me
58,you
59,look
60,sweetly
61,divine
62,i
63,feel
64,you
65,i
66,see
67,your
68,eyes
69,busy
70,kissing
71,mine
72,i
73,i
74,wondering
75,expecting
76,see
77,someone
78,looking
79,me
80,let
81,let
82,let
83,your
84,hair
85,hang
86,around
87,me
88,let
89,let
90,let
91,your
92,love
93,flow
94,astound
95,me
96,let
97,let
98,ooh
99,let
100,let
101,ooh
102,let
103,let
104,ooh
