,Your Eyes_Bombay Bicycle Club
0,nod
1,my
2,head
3,dumb
4,love
5,there's
6,something
7,else
8,i'm
9,dreaming
10,shut
11,my
12,eyes
13,pretend
14,keep
15,me
16,unaware
17,i
18,would
19,promise
20,i
21,could
22,think
23,afterward
24,humour
25,me
26,think
27,i
28,ever
29,asked
30,you
31,prechorus
32,coming
33,back
34,coming
35,back
36,coming
37,back
38,coming
39,back
40,you
41,come
42,say
43,word
44,quick
45,tables
46,turned
47,hate
48,there's
49,space
50,fill
51,always
52,always
53,i'm
54,your
55,fingers
56,snap
57,left
58,i
59,see
60,love
61,trapped
62,coming
63,back
64,along
65,barren
66,streets
67,slide
68,poke
69,dirt
70,find
71,magnify
72,us
73,see
74,dig
75,desperately
76,i
77,would
78,promise
79,i
80,could
81,think
82,afterward
83,humour
84,me
85,think
86,i
87,ever
88,asked
89,you
90,prechorus
91,coming
92,back
93,coming
94,back
95,coming
96,back
97,coming
98,back
99,you
100,come
101,say
102,word
103,quick
104,tables
105,turned
106,hate
107,there's
108,space
109,fill
110,always
111,always
112,i'm
113,your
114,fingers
115,snap
116,left
117,i
118,see
119,love
120,trapped
121,coming
122,back
123,your
124,eyes
125,your
126,eyes
127,your
128,eyes
129,your
130,eyes
131,your
132,eyes
133,your
134,eyes
135,your
136,eyes
137,your
138,eyes
139,your
140,eyes
141,your
142,eyes
143,your
144,eyes
