,I Don't Believe in the Sun_The Magnetic Fields
0,say
1,there's
2,sun
3,sky
4,can't
5,imagine
6,might
7,one
8,gone
9,see
10,night
11,believe
12,sun
13,could
14,shine
15,everyone
16,never
17,shine
18,could
19,cruelty
20,sun
21,ever
22,knew
23,beautiful
24,one
25,since
26,went
27,away
28,nighttime
29,day
30,usually
31,raining
32,too…
33,believe
34,sun
35,could
36,shine
37,everyone
38,never
39,shine
40,could
41,cruelty
42,bridge
43,stars
44,really
45,shining
46,eyes
47,sun
48,except
49,one
50,never
51,shone
52,guys
53,moon
54,poets
55,croon
56,given
57,died
58,astronomy
59,revised…
60,believe
61,sun
62,could
63,shine
64,everyone
65,never
66,shine
67,could
68,cruelty
