,I Think I Need A New Heart_The Magnetic Fields
0,time
1,stands
2,still
3,i
4,feel
5,time
6,standing
7,still
8,you
9,put
10,keys
11,say
12,call
13,me
14,please
15,radio
16,plays
17,i
18,think
19,i
20,need
21,new
22,heart
23,oh
24,i
25,think
26,i
27,need
28,new
29,heart
30,oh
31,you've
32,lied
33,sin
34,i
35,can't
36,tell
37,truth
38,'cause
39,comes
40,wrong
41,unless
42,i
43,put
44,song
45,radio
46,plays
47,i
48,think
49,i
50,need
51,new
52,heart
53,you
54,i
55,think
56,i
57,need
58,new
59,heart
60,'cause
61,i
62,always
63,say
64,i
65,love
66,you
67,i
68,mean
69,turn
70,light
71,i
72,say
73,let's
74,run
75,away
76,i
77,mean
78,stay
79,night
80,words
81,you
82,want
83,hear
84,you
85,never
86,hear
87,me
88,i'll
89,never
90,say
91,happy
92,anniversary
93,never
94,stay
95,say
96,happy
97,anniversary
98,i
99,think
100,i
101,need
102,new
103,heart
104,oh
105,i
106,think
107,i
108,need
109,new
110,heart
111,oh
112,i
113,think
114,i
115,need
116,new
117,heart
118,oh
119,i
120,think
121,i
122,need
123,new
124,heart
125,oh
126,give
127,me
128,time
