,True Affection_Father John Misty
0,talk
1,face
2,instead
3,using
4,strange
5,devices
6,seems
7,like
8,you
9,i
10,need
11,crazy
12,conversation
13,prechorus
14,hard
15,get
16,along
17,well
18,sentence
19,sentence
20,trial
21,run
22,let
23,me
24,show
25,you
26,figure
27,i
28,give
29,you
30,true
31,affection
32,true
33,affection
34,true
35,affection
36,oh
37,oh
38,true
39,affection
40,true
41,affection
42,oh
43,oh
44,interlude
45,talk
46,face
47,instead
48,using
49,strange
50,devices
51,true
52,affection
53,seems
54,like
55,you
56,i
57,need
58,crazy
59,conversation
60,true
61,affection
62,talk
63,face
64,figure
65,i
66,give
67,you
68,true
69,affection
70,true
71,affection
72,seems
73,like
74,you
75,i
76,need
77,crazy
78,conversation
79,true
80,affection
81,talk
82,face
83,figure
84,i
85,give
86,you
87,true
88,affection
