,The Luckiest Guy on the Lower East Side_The Magnetic Fields
0,andy
1,would
2,bicycle
3,across
4,town
5,rain
6,bring
7,candy
8,john
9,would
10,buy
11,gown
12,wear
13,prom
14,tom
15,astronomer
16,who'd
17,name
18,star
19,i'm
20,luckiest
21,guy
22,lower
23,east
24,side
25,cause
26,i've
27,got
28,wheels
29,want
30,go
31,ride
32,harry
33,one
34,think
35,marry
36,kissed
37,school
38,well
39,i'm
40,fool
41,there's
42,doubt
43,sun
44,comes
45,sun
46,comes
47,out…
48,i'm
49,luckiest
50,guy
51,lower
52,east
53,side
54,cause
55,i've
56,got
57,wheels
58,want
59,go
60,ride
61,day
62,beautiful
63,car
64,ugly
65,i'm
66,ugly
67,know
68,never
69,give
70,second
71,glance
72,weather's
73,nice
74,guys
75,stand
76,chance
77,know
78,professor
79,blumen
80,makes
81,feel
82,like
83,woman
84,wind
85,hair
86,laugh
87,like
88,little
89,girl
90,share
91,secrets
92,lou
93,we've
94,got
95,secrets
96,well
97,one
98,keep
99,heap
100,cause
101,i'm
102,ugliest
103,guy
104,lower
105,east
106,side
107,i've
108,got
109,wheels
110,want
111,go
112,ride
113,want
114,go
115,ride
116,want
117,go
118,ride
119,want
120,go
121,ride
