,Lips Of An Angel_Hinder
0,honey
1,you
2,callin’
3,me
4,late
5,it’s
6,kinda
7,hard
8,talk
9,right
10,honey
11,you
12,cryin’
13,everything
14,okay
15,i
16,gotta
17,whisper
18,cause
19,i
20,can’t
21,loud
22,prechorus
23,well
24,my
25,girl’s
26,next
27,room
28,sometimes
29,i
30,wish
31,she
32,you
33,i
34,guess
35,never
36,really
37,moved
38,it’s
39,really
40,good
41,hear
42,your
43,voice
44,sayin’
45,my
46,name
47,sounds
48,sweet
49,comin’
50,lips
51,angel
52,hearin’
53,words
54,makes
55,me
56,weak
57,i
58,never
59,wanna
60,say
61,goodbye
62,girl
63,you
64,make
65,hard
66,faithful
67,lips
68,angel
69,it‘s
70,funny
71,you’re
72,callin’
73,me
74,tonight
75,yes
76,i’ve
77,dreamt
78,you
79,he
80,know
81,you’re
82,talkin’
83,me
84,start
85,fight
86,i
87,don’t
88,think
89,she
90,clue
91,prechorus
92,well
93,my
94,girl’s
95,next
96,room
97,sometimes
98,i
99,wish
100,she
101,you
102,i
103,guess
104,never
105,really
106,moved
107,it’s
108,really
109,good
110,hear
111,your
112,voice
113,sayin’
114,my
115,name
116,sounds
117,sweet
118,comin’
119,lips
120,angel
121,hearin’
122,words
123,makes
124,me
125,weak
126,i
127,never
128,wanna
129,say
130,goodbye
131,girl
132,you
133,make
134,hard
135,faithful
136,lips
137,angel
138,prechorus
139,well
140,my
141,girl’s
142,next
143,room
144,sometimes
145,i
146,wish
147,she
148,you
149,i
150,guess
151,never
152,really
153,moved
154,chorusoutro
155,it’s
156,really
157,good
158,hear
159,your
160,voice
161,sayin’
162,my
163,name
164,sounds
165,sweet
166,comin’
167,lips
168,angel
169,hearin’
170,words
171,makes
172,me
173,weak
174,i
175,never
176,wanna
177,say
178,goodbye
179,girl
180,you
181,make
182,hard
183,faithful
184,lips
185,angel
186,i
187,never
188,wanna
189,say
190,goodbye
191,girl
192,you
193,make
194,hard
195,faithful
196,lips
197,angel
198,honey
199,you
200,callin’
201,me
202,late
