,Creature Fear_Bon Iver
0,i
1,full
2,your
3,count
4,i
5,lost
6,your
7,fool
8,long
9,visit
10,wrong
11,say
12,you
13,many
14,foreign
15,worlds
16,relatively
17,fucked
18,ready
19,us
20,ready
21,us
22,creature
23,fear
24,i
25,teased
26,your
27,blouse
28,spit
29,your
30,mouth
31,i
32,loud
33,your
34,lowered
35,seminary
36,sold
37,tear
38,tail
39,take
40,wind
41,soft
42,bloody
43,nose
44,sign
45,another
46,floor
47,many
48,territories
49,ready
50,reform
51,don’t
52,let
53,form
54,us
55,don’t
56,let
57,form
58,us
59,creature
60,fear
61,he
62,foil
63,his
64,he
65,ready
66,reform
67,many
68,torahs
69,many
70,us
71,creature
72,fear
