,Dakota_Stereophonics
0,thinkin'
1,back
2,thinkin'
3,you
4,summertime
5,think
6,june
7,yeah
8,think
9,june
10,laying
11,back
12,head
13,grass
14,chewing
15,gum
16,laughs
17,yeah
18,laughs
19,you
20,made
21,me
22,feel
23,like
24,one
25,you
26,made
27,me
28,feel
29,like
30,one
31,one
32,you
33,made
34,me
35,feel
36,like
37,one
38,you
39,made
40,me
41,feel
42,like
43,one
44,one
45,drinking
46,back
47,drinking
48,two
49,drinking
50,you
51,drinking
52,new
53,sleeping
54,back
55,my
56,car
57,never
58,went
59,far
60,need
61,go
62,far
63,you
64,made
65,me
66,feel
67,like
68,one
69,you
70,made
71,me
72,feel
73,like
74,one
75,one
76,you
77,made
78,me
79,feel
80,like
81,one
82,you
83,made
84,me
85,feel
86,like
87,one
88,one
89,i
90,know
91,going
92,i
93,know
94,going
95,wake
96,call
97,coffee
98,juice
99,rememberin'
100,you
101,happened
102,you
103,i
104,wonder
105,we'll
106,meet
107,talk
108,life
109,since
110,talk
111,end
112,you
113,made
114,me
115,feel
116,like
117,one
118,you
119,made
120,me
121,feel
122,like
123,one
124,one
125,you
126,made
127,me
128,feel
129,like
130,one
131,you
132,made
133,me
134,feel
135,like
136,one
137,one
138,i
139,know
140,going
141,i
142,know
143,going
144,take
145,look
146,me
147,take
148,look
149,me
150,take
151,look
152,me
153,take
154,look
155,me
156,take
157,look
158,me
159,take
160,look
161,me
162,take
163,look
164,me
165,take
166,look
167,me
168,take
169,look
170,me
171,take
172,look
173,me
174,take
175,look
176,me
177,take
178,look
179,me
180,take
181,look
182,me
183,take
184,look
185,me
186,take
187,look
188,me
189,take
190,look
191,me
192,take
193,look
194,me
