,This Love_Maroon 5
0,high
1,recognize
2,fire
3,burning
4,eyes
5,chaos
6,controlled
7,mind
8,whispered
9,goodbye
10,got
11,plane
12,never
13,return
14,always
15,heart
16,love
17,taken
18,toll
19,said
20,goodbye
21,many
22,times
23,heart
24,breaking
25,front
26,choice
27,'cause
28,say
29,goodbye
30,anymore
31,tried
32,best
33,feed
34,appetite
35,keep
36,coming
37,every
38,night
39,hard
40,keep
41,satisfied
42,keep
43,playing
44,love
45,like
46,game
47,pretending
48,feel
49,turn
50,around
51,leave
52,love
53,taken
54,toll
55,said
56,goodbye
57,many
58,times
59,heart
60,breaking
61,front
62,choice
63,'cause
64,say
65,goodbye
66,anymore
67,bridge
68,i'll
69,fix
70,broken
71,things
72,repair
73,broken
74,wings
75,make
76,sure
77,everything's
78,alright
79,alright
80,alright
81,pressure
82,hips
83,sinking
84,fingertips
85,every
86,inch
87,'cause
88,know
89,that's
90,want
91,love
92,taken
93,toll
94,said
95,goodbye
96,many
97,times
98,heart
99,breaking
100,front
101,choice
102,'cause
103,say
104,goodbye
105,anymore
106,love
107,taken
108,toll
109,said
110,goodbye
111,many
112,times
113,heart
114,breaking
115,front
116,said
117,goodbye
118,many
119,times
120,love
121,taken
122,toll
123,said
124,goodbye
125,many
126,times
127,heart
128,breaking
129,front
130,choice
131,'cause
132,say
133,goodbye
134,anymore
