,When You're Gone_Avril Lavigne
0,i
1,always
2,needed
3,time
4,my
5,i
6,never
7,thought
8,i'd
9,need
10,you
11,i
12,cry
13,days
14,feel
15,like
16,years
17,i'm
18,alone
19,bed
20,you
21,lie
22,made
23,your
24,side
25,prechorus
26,you
27,walk
28,away
29,i
30,count
31,steps
32,you
33,take
34,you
35,see
36,much
37,i
38,need
39,you
40,right
41,you're
42,gone
43,pieces
44,my
45,heart
46,missing
47,you
48,you're
49,gone
50,face
51,i
52,came
53,know
54,missing
55,you're
56,gone
57,words
58,i
59,need
60,hear
61,always
62,get
63,me
64,day
65,make
66,okay
67,i
68,miss
69,you
70,i've
71,never
72,felt
73,way
74,everything
75,i
76,reminds
77,me
78,you
79,clothes
80,you
81,left
82,lie
83,floor
84,smell
85,like
86,you
87,i
88,love
89,things
90,you
91,prechorus
92,you
93,walk
94,away
95,i
96,count
97,steps
98,you
99,take
100,you
101,see
102,much
103,i
104,need
105,you
106,right
107,you're
108,gone
109,pieces
110,my
111,heart
112,missing
113,you
114,you're
115,gone
116,face
117,i
118,came
119,know
120,missing
121,you're
122,gone
123,words
124,i
125,need
126,hear
127,always
128,get
129,me
130,day
131,make
132,okay
133,i
134,miss
135,you
136,made
137,forever
138,i
139,know
140,yeah
141,yeah
142,i
143,ever
144,wanted
145,you
146,know
147,everything
148,i
149,i
150,give
151,my
152,heart
153,soul
154,i
155,hardly
156,breathe
157,i
158,need
159,feel
160,you
161,me
162,yeah
163,you're
164,gone
165,pieces
166,my
167,heart
168,missing
169,you
170,you're
171,gone
172,face
173,i
174,came
175,know
176,missing
177,you're
178,gone
179,words
180,i
181,need
182,hear
183,always
184,get
185,me
186,day
187,make
188,okay
189,i
190,miss
191,you
