,If I Ain't Got You_Alicia Keys
0,people
1,live
2,fortune
3,people
4,live
5,fame
6,people
7,live
8,power
9,yeah
10,people
11,live
12,play
13,game
14,people
15,think
16,physical
17,things
18,define
19,what's
20,within
21,i've
22,life's
23,bore
24,full
25,superficial
26,people
27,want
28,i
29,want
30,nothing
31,ain't
32,you
33,baby
34,i
35,ain't
36,got
37,you
38,baby
39,people
40,want
41,diamond
42,rings
43,want
44,everything
45,everything
46,means
47,nothing
48,i
49,ain't
50,got
51,you
52,yeah
53,people
54,search
55,fountain
56,promises
57,forever
58,young
59,people
60,need
61,three
62,dozen
63,roses
64,that's
65,way
66,prove
67,you
68,love
69,hand
70,me
71,world
72,silver
73,platter
74,good
75,would
76,one
77,share
78,one
79,truly
80,cares
81,me
82,people
83,want
84,i
85,want
86,nothing
87,ain't
88,you
89,baby
90,i
91,ain't
92,got
93,you
94,baby
95,people
96,want
97,diamond
98,rings
99,want
100,everything
101,everything
102,means
103,nothing
104,i
105,ain't
106,got
107,you
108,you
109,you
110,people
111,want
112,i
113,want
114,nothing
115,ain't
116,you
117,baby
118,i
119,ain't
120,got
121,you
122,baby
123,people
124,want
125,diamond
126,rings
127,want
128,everything
129,everything
130,means
131,nothing
132,i
133,ain't
134,got
135,you
136,yeah
137,i
138,ain't
139,got
140,you
141,me
142,baby
143,oh
144,ooh
145,said
146,nothing
147,whole
148,wide
149,world
150,mean
151,thing
152,i
153,ain't
154,got
155,you
156,me
157,baby
