,But It's Better If You Do_Panic! at the Disco
0,i'm
1,consenting
2,age
3,forgetting
4,you
5,cabaret
6,somewhere
7,downtown
8,burlesque
9,queen
10,may
11,even
12,ask
13,my
14,name
15,she
16,sheds
17,her
18,skin
19,stage
20,i'm
21,seated
22,sweating
23,dance
24,song
25,club's
26,pa
27,strip
28,joint
29,veteran
30,sits
31,two
32,away
33,smirking
34,dignified
35,sips
36,his
37,dignified
38,peach
39,lime
40,daiquiri
41,exactly
42,you'd
43,like
44,me
45,i'm
46,exactly
47,you'd
48,like
49,me
50,you
51,know
52,praying
53,love
54,lap
55,dance
56,paying
57,naivety
58,oh
59,exactly
60,you'd
61,like
62,me
63,i'm
64,exactly
65,you'd
66,like
67,me
68,you
69,know
70,praying
71,love
72,lap
73,dance
74,paying
75,naivety
76,postchorus
77,oh
78,i'm
79,afraid
80,i
81,well
82,i
83,may
84,faked
85,i
86,caught
87,dead
88,ddead
89,ddead
90,ddead
91,place
92,well
93,i'm
94,afraid
95,i
96,well
97,that's
98,right
99,well
100,i
101,may
102,faked
103,i
104,caught
105,dead
106,place
107,exactly
108,you'd
109,like
110,me
111,i'm
112,exactly
113,you'd
114,like
115,me
116,you
117,know
118,praying
119,love
120,lap
121,dance
122,paying
123,naivety
124,oh
125,exactly
126,you'd
127,like
128,me
129,i'm
130,exactly
131,you'd
132,like
133,me
134,you
135,know
136,praying
137,love
138,lap
139,dance
140,paying
141,naivety
142,postchorus
143,well
144,i'm
145,afraid
146,i
147,well
148,i
149,may
150,faked
151,i
152,caught
153,dead
154,ddead
155,ddead
156,ddead
157,place
158,well
159,i'm
160,afraid
161,i
162,well
163,that's
164,right
165,well
166,i
167,may
168,faked
169,i
170,caught
171,dead
172,place
173,exactly
174,you'd
175,like
176,me
177,i'm
178,exactly
179,you'd
180,like
181,me
182,you
183,know
184,praying
185,love
186,lap
187,dance
188,paying
189,naivety
190,oh
191,exactly
192,you'd
193,like
194,me
195,i'm
196,exactly
197,you'd
198,like
199,me
200,you
201,know
202,praying
203,love
204,lap
205,dance
206,paying
207,naivety
208,praying
209,love
210,paying
211,naivety
212,praying
213,love
214,paying
215,naivety
216,oh
