,You and Me_Lifehouse
0,day
1,month
2,clock
3,never
4,seemed
5,alive
6,i
7,can't
8,keep
9,i
10,can't
11,back
12,i've
13,losing
14,much
15,time
16,'cause
17,you
18,me
19,people
20,nothing
21,nothing
22,lose
23,you
24,me
25,people
26,i
27,know
28,i
29,can't
30,keep
31,my
32,eyes
33,you
34,things
35,i
36,want
37,say
38,coming
39,right
40,i'm
41,tripping
42,words
43,you've
44,got
45,my
46,head
47,spinning
48,i
49,know
50,go
51,'cause
52,you
53,me
54,people
55,nothing
56,nothing
57,prove
58,you
59,me
60,people
61,i
62,know
63,i
64,can't
65,keep
66,my
67,eyes
68,you
69,there's
70,something
71,you
72,i
73,can't
74,quite
75,figure
76,everything
77,she
78,beautiful
79,everything
80,she
81,right
82,'cause
83,you
84,me
85,people
86,nothing
87,nothing
88,lose
89,you
90,me
91,people
92,i
93,know
94,i
95,can't
96,keep
97,my
98,eyes
99,you
100,me
101,people
102,nothing
103,nothing
104,prove
105,you
106,me
107,people
108,i
109,know
110,i
111,can't
112,keep
113,my
114,eyes
115,you
116,outroverse
117,day
118,month
119,clock
120,never
121,seemed
122,alive
