,I'm with You_Avril Lavigne
0,i'm
1,standing
2,i'm
3,waiting
4,dark
5,i
6,thought
7,you'd
8,there's
9,nothing
10,rain
11,footsteps
12,ground
13,i'm
14,listening
15,there's
16,sound
17,prechorus
18,anyone
19,trying
20,find
21,me
22,somebody
23,come
24,take
25,me
26,home
27,damn
28,cold
29,night
30,trying
31,figure
32,life
33,you
34,take
35,me
36,hand
37,take
38,me
39,somewhere
40,new
41,i
42,know
43,you
44,i
45,i'm
46,you
47,i'm
48,you
49,i'm
50,looking
51,place
52,i'm
53,searching
54,face
55,anybody
56,i
57,know
58,'cause
59,nothing's
60,going
61,right
62,everything's
63,mess
64,one
65,likes
66,alone
67,prechorus
68,anyone
69,trying
70,find
71,me
72,somebody
73,come
74,take
75,me
76,home
77,damn
78,cold
79,night
80,trying
81,figure
82,life
83,you
84,take
85,me
86,hand
87,take
88,me
89,somewhere
90,new
91,i
92,know
93,you
94,i
95,i'm
96,you
97,i'm
98,you
99,yeahyeah
100,oh
101,everything
102,confusing
103,maybe
104,i'm
105,my
106,mind
107,yeahheyaa
108,yeahheyah
109,yeahheyah
110,yeahheyah
111,yeah
112,final
113,damn
114,cold
115,night
116,trying
117,figure
118,life
119,you
120,take
121,me
122,hand
123,take
124,me
125,somewhere
126,new
127,i
128,know
129,you
130,i
131,i'm
132,you
133,i'm
134,you
135,take
136,me
137,hand
138,take
139,me
140,somewhere
141,new
142,i
143,know
144,you
145,i
146,i'm
147,you
148,i'm
149,you
150,take
151,me
152,hand
153,take
154,me
155,somewhere
156,new
157,i
158,know
159,you
160,i
161,i'm
162,you
163,i'm
164,you
165,i'm
166,you
