,Daydreamer_Adele
0,daydreamer
1,sitting
2,sea
3,soaking
4,sun
5,real
6,lover
7,making
8,past
9,feeling
10,girl
11,like
12,he's
13,never
14,felt
15,figure
16,jaw
17,dropper
18,looks
19,good
20,walks
21,subject
22,talk
23,would
24,hard
25,chase
26,good
27,catch
28,could
29,change
30,world
31,hands
32,behind
33,back
34,oh
35,find
36,sitting
37,doorstep
38,waiting
39,surprise
40,feel
41,like
42,he's
43,hours
44,tell
45,he'll
46,life
47,daydreamer
48,eyes
49,make
50,melt
51,lends
52,coat
53,shelter
54,plus
55,he's
56,stays
57,waits
58,sees
59,bridge
60,there's
61,way
62,could
63,describe
64,i've
65,said
66,i'm
67,hoping
68,find
69,sitting
70,doorstep
71,waiting
72,surprise
73,feel
74,like
75,he's
76,hours
77,tell
78,he'll
79,life
80,tell
81,he'll
82,life
