,We Belong Together_Mariah Carey
0,ooh
1,oh
2,oh
3,sweet
4,love
5,yeah
6,mean
7,said
8,love
9,held
10,tight
11,never
12,let
13,go
14,know
15,nothing
16,stupid
17,foolish
18,lying
19,couldn’t
20,fathomed
21,would
22,ever
23,without
24,love
25,never
26,imagined
27,i'd
28,sitting
29,beside
30,'cause
31,didn’t
32,know
33,'cause
34,didn’t
35,know
36,thought
37,knew
38,everything
39,never
40,felt
41,pre-chorus
42,feeling
43,i’m
44,feeling
45,don’t
46,hear
47,voice
48,touch
49,kiss
50,lips
51,‘cause
52,don’t
53,choice
54,oh
55,wouldn’t
56,give
57,lying
58,side
59,right
60,’cause
61,baby
62,left
63,lost
64,part
65,still
66,hard
67,believe
68,come
69,back
70,baby
71,please
72,‘cause
73,belong
74,together
75,else
76,gonna
77,lean
78,times
79,get
80,rough
81,who’s
82,gonna
83,talk
84,phone
85,'til
86,sun
87,comes
88,who’s
89,gonna
90,take
91,place
92,ain't
93,nobody
94,better
95,oh
96,baby
97,baby
98,belong
99,together
100,can't
101,sleep
102,night
103,mind
104,bobby
105,womack's
106,radio
107,singing
108,"""if"
109,think
110,lonely
111,"now"""
112,wait
113,minute
114,deep
115,deep
116,gotta
117,change
118,station
119,turn
120,dial
121,tryin'
122,catch
123,break
124,hear
125,babyface
126,"""i"
127,think
128,"you"""
129,breaking
130,heart
131,i'm
132,tryna
133,keep
134,together
135,i'm
136,falling
137,apart
138,pre-chorus
139,i'm
140,feeling
141,element
142,throwing
143,things
144,cryin'
145,tryin'
146,figure
147,hell
148,went
149,wrong
150,pain
151,reflected
152,song
153,ain't
154,even
155,half
156,i'm
157,feeling
158,inside
159,need
160,need
161,back
162,life
163,baby
164,left
165,lost
166,part
167,still
168,hard
169,believe
170,come
171,back
172,baby
173,please
174,‘cause
175,belong
176,together
177,else
178,gonna
179,lean
180,times
181,get
182,rough
183,who’s
184,gonna
185,talk
186,phone
187,'til
188,sun
189,comes
190,who’s
191,gonna
192,take
193,place
194,ain't
195,nobody
196,better
197,oh
198,baby
199,baby
200,belong
201,together
202,outro
203,baby
204,left
205,lost
206,part
207,still
208,hard
209,believe
210,come
211,back
212,baby
213,please
214,‘cause
215,belong
216,together
217,gonna
218,lean
219,times
220,get
221,rough
222,who’s
223,gonna
224,talk
225,'til
226,sun
227,comes
228,who’s
229,gonna
230,take
231,place
232,ain't
233,nobody
234,better
235,oh
236,baby
237,baby
238,belong
239,together
