,Volcano_Damien Rice
0,damien
1,rice
2,hold
3,yourself
4,like
5,you'll
6,hurt
7,your
8,knees
9,well
10,i
11,kissed
12,your
13,mouth
14,back
15,that's
16,i
17,need
18,build
19,your
20,world
21,around
22,volcanoes
23,melt
24,you
25,damien
26,rice
27,lisa
28,hannigan
29,i
30,you
31,real
32,i
33,you
34,you
35,need
36,i
37,you
38,you
39,mean
40,me
41,you
42,give
43,me
44,miles
45,miles
46,mountains
47,i'll
48,ask
49,sea
50,lisa
51,hannigan
52,throw
53,yourself
54,like
55,front
56,me
57,i
58,kissed
59,your
60,mouth
61,your
62,back
63,you
64,need
65,drag
66,my
67,love
68,around
69,volcanoes
70,melt
71,me
72,damien
73,rice
74,lisa
75,hannigan
76,i
77,you
78,real
79,i
80,you
81,you
82,need
83,i
84,you
85,you
86,mean
87,me
88,you
89,give
90,me
91,miles
92,miles
93,mountains
94,i'll
95,ask
96,damien
97,rice
98,i
99,give
100,you
101,i'm
102,going
103,nothing
104,new
105,another
106,phase
107,finding
108,i
109,really
110,need
111,makes
112,me
113,bleed
114,like
115,new
116,disease
117,lord
118,still
119,young
120,treat
121,i
122,you
123,oh
124,still
125,young
126,volcanoes
127,melt
128,you
129,real
130,still
131,young
132,i
133,you
134,oh
135,still
136,young
137,volcanoes
138,melt
139,you
140,you
141,need
142,still
143,young
144,i
145,you
146,oh
147,still
148,young
149,volcanoes
150,melt
151,you
152,real
153,still
154,young
155,i
156,you
157,oh
158,still
159,young
160,volcanoes
161,melt
162,you
163,you
164,need
165,still
166,young
167,i
168,you
169,oh
170,still
171,young
172,volcanoes
173,melt
174,you
175,real
176,still
177,young
178,i
179,you
180,oh
181,still
182,young
183,volcanoes
184,melt
185,you
186,you
187,need
188,still
189,young
190,i
191,you
192,oh
193,still
194,young
195,volcanoes
196,melt
197,you
198,real
199,still
200,young
201,i
202,you
203,oh
204,still
205,young
206,volcanoes
207,melt
208,you
209,you
210,need
211,still
212,young
213,i
214,you
215,oh
216,still
217,young
218,i
219,kissed
220,your
221,mouth
222,volcanoes
223,melt
224,you
225,real
226,still
227,young
228,i
229,you
230,oh
231,still
232,young
233,i
234,kissed
235,your
236,mouth
237,volcanoes
238,melt
239,you
240,you
241,need
242,still
243,young
244,i
245,you
246,oh
247,still
248,young
249,i
250,kissed
251,your
252,mouth
253,volcanoes
254,melt
255,you
256,real
257,still
258,young
259,i
260,you
261,oh
262,still
263,young
264,i
265,kissed
266,your
267,mouth
268,volcanoes
269,melt
270,you
271,you
272,need
273,still
274,young
275,you
276,need
277,me
