,Bedshaped_Keane
0,many's
1,time
2,i
3,ran
4,you
5,rainy
6,roads
7,old
8,town
9,many
10,lives
11,lived
12,day
13,buried
14,together
15,prechorus
16,laugh
17,me
18,look
19,away
20,you'll
21,follow
22,me
23,back
24,sun
25,your
26,eyes
27,your
28,bedshaped
29,legs
30,stone
31,you'll
32,knock
33,my
34,door
35,we'll
36,go
37,white
38,light
39,i
40,think
41,i
42,know
43,i
44,know
45,i
46,know
47,i
48,know
49,you
50,think
51,i'm
52,holding
53,you
54,i've
55,fallen
56,wayside
57,i
58,understand
59,things
60,you
61,i
62,prechorus
63,laugh
64,me
65,look
66,away
67,you'll
68,follow
69,me
70,back
71,sun
72,your
73,eyes
74,your
75,bedshaped
76,legs
77,stone
78,you'll
79,knock
80,my
81,door
82,we'll
83,go
84,white
85,light
86,i
87,think
88,i
89,know
90,i
91,know
92,i
93,know
94,instrumental
95,partial
96,oh
97,we'll
98,go
99,white
100,light
101,i
102,think
103,i
104,know
105,i
106,know
107,i
108,know
