,Stickwitu_The Pussycat Dolls
0,nicole
1,scherzinger
2,mmm
3,come
4,nicole
5,scherzinger
6,melody
7,thornton
8,&
9,carmit
10,bachar
11,wanna
12,go
13,another
14,day
15,i'm
16,telling
17,exactly
18,mind
19,seems
20,like
21,everybody's
22,breaking
23,throwing
24,love
25,away
26,know
27,got
28,good
29,thing
30,right
31,that's
32,say
33,hey
34,melody
35,thornton
36,nobody
37,gonna
38,love
39,better
40,mmh
41,i'ma
42,stick
43,forever
44,mmh
45,nobody
46,gonna
47,take
48,higher
49,i'ma
50,stick
51,mmh
52,know
53,appreciate
54,i'ma
55,stick
56,baby
57,nobody
58,ever
59,made
60,feel
61,way
62,i'ma
63,stick
64,nicole
65,scherzinger
66,melody
67,thornton
68,&
69,carmit
70,bachar
71,ashley
72,roberts
73,jessica
74,sutta
75,&
76,kimberly
77,wyatt
78,wanna
79,go
80,another
81,day
82,i'm
83,telling
84,exactly
85,mind
86,see
87,way
88,ride
89,private
90,lives
91,ain't
92,nobody
93,getting
94,want
95,know
96,one
97,one
98,say
99,melody
100,thornton
101,nicole
102,scherzinger
103,nobody
104,gonna
105,love
106,better
107,mmh
108,i'ma
109,stick
110,forever
111,nobody
112,gonna
113,take
114,higher
115,i'ma
116,stick
117,oh
118,bae
119,know
120,appreciate
121,i'ma
122,stick
123,baby
124,yeah
125,nobody
126,ever
127,made
128,feel
129,way
130,i'ma
131,stick
132,nicole
133,scherzinger
134,melody
135,thornton
136,carmit
137,bachar
138,ashley
139,roberts
140,jessica
141,sutta
142,&
143,kimberly
144,wyatt
145,ain't
146,nothing
147,else
148,could
149,need
150,nothing
151,else
152,could
153,need
154,i'm
155,singing
156,'cause
157,got
158,we'll
159,making
160,love
161,endlessly
162,i'm
163,baby
164,i'm
165,baby
166,baby
167,higher
168,bridge
169,nicole
170,scherzinger
171,melody
172,thornton
173,worry
174,people
175,hanging
176,around
177,ain't
178,bringing
179,us
180,know
181,know
182,that's
183,counts
184,hey
185,hey
186,worry
187,people
188,hanging
189,around
190,ain't
191,bringing
192,us
193,mmh
194,know
195,know
196,that's
197,that's
198,say
199,hey
200,nicole
201,scherzinger
202,nobody
203,gonna
204,love
205,better
206,i'ma
207,stick
208,forever
209,nobody
210,gonna
211,take
212,higher
213,i'ma
214,stick
215,come
216,know
217,appreciate
218,i'ma
219,stick
220,baby
221,nobody
222,ever
223,made
224,feel
225,way
226,i'ma
227,stick
228,nobody
229,gonna
230,love
231,better
232,i'ma
233,stick
234,forever
235,nobody
236,gonna
237,take
238,higher
239,i'ma
240,stick
241,know
242,appreciate
243,i'ma
244,stick
245,baby
246,outro
247,nicole
248,scherzinger
249,nobody
250,ever
251,made
252,feel
253,way
254,i'ma
255,stick
