,Halo_Beyoncé
0,remember
1,walls
2,built
3,well
4,baby
5,they're
6,tumblin'
7,even
8,put
9,fight
10,even
11,make
12,sound
13,found
14,way
15,let
16,never
17,really
18,doubt
19,standin'
20,light
21,halo
22,got
23,angel
24,pre-chorus
25,like
26,i've
27,awakened
28,every
29,rule
30,breakin'
31,risk
32,i'm
33,takin'
34,ain't
35,never
36,gonna
37,shut
38,everywhere
39,i'm
40,lookin'
41,i'm
42,surrounded
43,embrace
44,baby
45,see
46,halo
47,know
48,savin'
49,grace
50,everything
51,need
52,written
53,face
54,baby
55,feel
56,halo
57,pray
58,fade
59,away
60,post-chorus
61,feel
62,halo
63,halo
64,halo
65,see
66,halo
67,halo
68,halo
69,feel
70,halo
71,halo
72,halo
73,see
74,halo
75,halo
76,halo
77,hit
78,like
79,ray
80,sun
81,burnin'
82,darkest
83,night
84,one
85,want
86,think
87,i'm
88,addicted
89,light
90,swore
91,i'd
92,never
93,fall
94,even
95,feel
96,like
97,fallin'
98,gravity
99,can't
100,begin
101,pull
102,back
103,ground
104,pre-chorus
105,like
106,i've
107,awakened
108,every
109,rule
110,breakin'
111,risk
112,i'm
113,takin'
114,i'm
115,never
116,gonna
117,shut
118,everywhere
119,i'm
120,lookin'
121,i'm
122,surrounded
123,embrace
124,baby
125,see
126,halo
127,know
128,savin'
129,grace
130,everything
131,need
132,written
133,face
134,baby
135,feel
136,halo
137,pray
138,fade
139,away
140,post-chorus
141,feel
142,halo
143,halo
144,halo
145,see
146,halo
147,halo
148,halo
149,feel
150,halo
151,halo
152,halo
153,see
154,halo
155,halo
156,feel
157,halo
158,halo
159,halo
160,see
161,halo
162,halo
163,halo
164,feel
165,halo
166,halo
167,halo
168,see
169,halo
170,halo
171,halo
172,halo
173,ooh
174,everywhere
175,i'm
176,lookin'
177,i'm
178,surrounded
179,embrace
180,baby
181,see
182,halo
183,know
184,savin'
185,grace
186,everything
187,need
188,written
189,face
190,baby
191,feel
192,halo
193,pray
194,fade
195,away
196,post-chorus
197,feel
198,halo
199,halo
200,halo
201,see
202,halo
203,halo
204,halo
205,feel
206,halo
207,halo
208,halo
209,see
210,halo
211,halo
212,halo
213,oh
214,oh
215,feel
216,halo
217,halo
218,halo
219,see
220,halo
221,halo
222,halo
223,feel
224,halo
225,halo
226,halo
227,see
228,halo
229,halo
230,halo
