,"Build God, Then We'll Talk_Panic! at the Disco"
0,substandard
1,motels
2,lalalalala
3,corner
4,4th
5,fremont
6,street
7,appealing
8,'cause
9,they're
10,unappealing
11,practiced
12,catholic
13,would
14,cross
15,upon
16,entering
17,rooms
18,hint
19,asbestos
20,maybe
21,dash
22,formaldehyde
23,habit
24,decomposing
25,right
26,your
27,lalalala
28,eyes
29,along
30,people
31,inside
32,wonderful
33,caricature
34,intimacy
35,inside
36,wonderful
37,caricature
38,intimacy
39,tonight's
40,tenants
41,range
42,lawyer
43,virgin
44,accessorizing
45,rosary
46,tucked
47,inside
48,her
49,lingerie
50,getting
51,job
52,firm
53,come
54,monday
55,mrs
56,stay
57,cheating
58,attorney
59,moonlighting
60,aside
61,she
62,really
63,needs
64,his
65,money
66,oh
67,wonderful
68,caricature
69,intimacy
70,yeah
71,yeah
72,mention
73,constable
74,his
75,proposition
76,“virgin”
77,yes
78,one
79,lawyer
80,met
81,“strictly
82,business”
83,he
84,said
85,mrs
86,well
87,hours
88,he
89,left
90,she
91,fixing
92,her
93,face
94,compact
95,terrible
96,crash
97,terrible
98,crash
99,her
100,badge
101,she
102,spilled
103,her
104,purse
105,her
106,bag
107,held
108,purse
109,different
110,kind
111,along
112,people
113,inside
114,wonderful
115,caricature
116,intimacy
117,inside
118,wonderful
119,caricature
120,intimacy
121,raindrops
122,roses
123,girls
124,white
125,dresses
126,sleeping
127,roaches
128,taking
129,best
130,guesses
131,shade
132,sheets
133,stains
134,your
135,least
136,favorite
137,things
138,raindrops
139,roses
140,girls
141,white
142,dresses
143,sleeping
144,roaches
145,taking
146,best
147,guesses
148,shade
149,sheets
150,stains
151,your
152,least
153,favorite
154,things
155,inside
156,wonderful
157,caricature
158,intimacy
159,inside
160,wonderful
161,caricature
162,intimacy
163,raindrops
164,roses
165,girls
166,white
167,dresses
168,sleeping
169,roaches
170,taking
171,best
172,guesses
173,shade
174,sheets
175,stains
176,your
177,least
178,favorite
179,things
180,raindrops
181,roses
182,girls
183,white
184,dresses
185,sleeping
186,roaches
187,taking
188,best
189,guesses
190,shade
191,sheets
192,stains
193,your
194,least
195,favorite
196,things
