,We Might as Well Be Strangers_Keane
0,i
1,know
2,your
3,face
4,feel
5,touch
6,i
7,adore
8,i
9,know
10,your
11,face
12,place
13,i'm
14,looking
15,might
16,well
17,strangers
18,another
19,town
20,might
21,well
22,living
23,different
24,world
25,might
26,well
27,might
28,well
29,might
30,well
31,i
32,know
33,your
34,thoughts
35,days
36,we're
37,strangers
38,empty
39,space
40,i
41,understand
42,your
43,heart
44,easier
45,apart
46,might
47,well
48,strangers
49,another
50,town
51,might
52,well
53,living
54,another
55,time
56,might
57,well
58,might
59,well
60,might
61,well
62,strangers
63,strangers
64,i
65,know
66,you
67,i
68,know
69,you
70,i
71,know
72,you
73,i
74,know
