,Amber_311
0,brainstorm
1,take
2,me
3,away
4,norm
5,i
6,got
7,tell
8,you
9,somethin'
10,phenomenon
11,i
12,put
13,song
14,goes
15,like
16,whoa
17,amber
18,color
19,your
20,energy
21,whoa
22,shades
23,gold
24,displayed
25,naturally
26,you
27,wanna
28,know
29,brings
30,me
31,oh
32,you
33,glide
34,my
35,head
36,blind
37,fear
38,i
39,know
40,whoa
41,amber
42,color
43,your
44,energy
45,whoa
46,shades
47,gold
48,displayed
49,naturally
50,break
51,whoa
52,amber
53,color
54,your
55,energy
56,whoa
57,shades
58,gold
59,displayed
60,naturally
61,refrain
62,you
63,live
64,far
65,away
66,your
67,voice
68,rings
69,like
70,bell
71,anyway
72,give
73,your
74,independence
75,unless
76,feels
77,right
78,nothing
79,good
80,comes
81,easily
82,sometimes
83,you've
84,got
85,fight
86,whoa
87,amber
88,color
89,your
90,energy
91,whoa
92,shades
93,gold
94,displayed
95,naturally
96,launched
97,thousand
98,ships
99,my
100,heart
101,easy
102,still
103,fine
104,afar
105,you
106,know
107,whoa
108,brainstorm
109,take
110,me
111,away
112,norm
113,whoa
114,i
115,got
116,tell
117,you
118,somethin'
