,Million Faces_Paolo Nutini
0,oh
1,phone
2,you
3,know
4,never
5,stops
6,last
7,thing
8,i
9,hear
10,night
11,first
12,thing
13,morning
14,i
15,let
16,start
17,burn
18,my
19,head
20,you
21,slowly
22,creep
23,bed
24,i'm
25,done
26,talking
27,you
28,say
29,you
30,know
31,i'm
32,feeling
33,i
34,need
35,try
36,settle
37,oh
38,million
39,faces
40,pass
41,my
42,way
43,oh
44,they're
45,nothing
46,seems
47,change
48,anytime
49,i
50,look
51,around
52,oh
53,knows
54,future
55,holds
56,i
57,want
58,know
59,you
60,tired
61,hell
62,falling
63,stairs
64,filled
65,thousand
66,cares
67,you
68,walk
69,bedroom
70,though
71,feels
72,like
73,my
74,fire
75,gone
76,girl
77,you
78,turn
79,me
80,can't
81,believe
82,much
83,i
84,want
85,you
86,you
87,say
88,you
89,know
90,i'm
91,feeling
92,i
93,need
94,try
95,settle
96,oh
97,million
98,faces
99,pass
100,my
101,way
102,oh
103,they're
104,nothing
105,seems
106,change
107,anytime
108,i
109,look
110,around
111,oh
112,knows
113,future
114,holds
115,i
116,want
117,know
118,you
119,we're
120,distracted
121,hard
122,times
123,troubles
124,make
125,let
126,us
127,throw
128,ocean
129,let
130,wash
131,cares
132,away
133,oh
134,phone
135,you
136,know
137,never
138,stops
139,last
140,thing
141,i
142,hear
143,night
144,first
145,thing
146,morning
147,oh
148,million
149,faces
150,pass
151,my
152,way
153,oh
154,they're
155,nothing
156,seems
157,change
158,anytime
159,i
160,look
161,around
162,oh
163,knows
164,future
165,holds
166,i
167,want
168,know
169,you
170,we're
171,distracted
172,hard
173,times
174,troubles
175,make
176,let
177,us
178,throw
179,ocean
180,let
181,wash
182,cares
183,away
184,let
185,wash
186,cares
