,Lost Without U_Robin Thicke
0,i'm
1,lost
2,without
3,can't
4,help
5,feel
6,know
7,love
8,baby
9,i'm
10,lost
11,without
12,can't
13,help
14,feel
15,know
16,love
17,baby
18,tell
19,love
20,think
21,i'm
22,sexy
23,baby
24,want
25,nobody
26,else
27,want
28,guy
29,want
30,guy
31,wanna
32,touch
33,see
34,tell
35,love
36,body
37,make
38,feel
39,baby
40,wanna
41,roll
42,wanna
43,hold
44,wanna
45,stay
46,warm
47,get
48,cold
49,love
50,hear
51,say
52,makes
53,man
54,feel
55,good
56,baby
57,tell
58,depend
59,need
60,hear
61,i'm
62,lost
63,without
64,can't
65,help
66,feel
67,know
68,love
69,baby
70,i'm
71,lost
72,without
73,can't
74,help
75,feel
76,know
77,love
78,baby
79,baby
80,perfect
81,shape
82,baby
83,perfect
84,weight
85,treat
86,like
87,birthday
88,want
89,way
90,want
91,way
92,want
93,tell
94,want
95,stop
96,stop
97,tell
98,would
99,break
100,heart
101,love
102,dirty
103,wanna
104,roll
105,wanna
106,hold
107,wanna
108,make
109,fires
110,get
111,norwegian
112,wood
113,love
114,hear
115,say
116,makes
117,man
118,feel
119,good
120,baby
121,i'm
122,lost
123,without
124,can't
125,help
126,feel
127,know
128,love
129,baby
130,i'm
131,lost
132,without
133,can't
134,help
135,feel
136,know
137,love
138,baby
139,bridge
140,cause
141,tell
142,every
143,morning
144,ooh
145,alright
146,baby
147,oh
148,yeah
149,oh
150,baby
151,oh
152,darling
153,alright
154,i'm
155,lost
156,without
157,can't
158,help
159,feel
160,know
161,love
162,baby
163,i'm
164,lost
165,without
166,can't
167,help
168,feel
169,know
170,love
171,baby
172,outro
173,ooh
174,yeah
175,oh
176,baby
177,oh
178,darlin'
179,right-right
180,oh
181,baby
182,oh
183,darlin'
184,ooh
185,ooh
186,baby
187,right-right
188,yeah
