,No Air_Jordin Sparks
0,jordin
1,sparks
2,tell
3,i'm
4,supposed
5,breathe
6,air
7,air
8,air
9,ooh
10,oh
11,jordin
12,sparks
13,brown
14,die
15,wake
16,'cause
17,took
18,breath
19,away
20,losing
21,like
22,living
23,world
24,air
25,oh
26,i'm
27,alone
28,wanna
29,leave
30,heart
31,move
32,incomplete
33,wish
34,way
35,make
36,understand
37,pre-chorus
38,jordin
39,sparks
40,expect
41,live
42,alone
43,'cause
44,world
45,revolves
46,around
47,hard
48,breathe
49,jordin
50,sparks
51,&
52,brown
53,tell
54,i'm
55,supposed
56,breathe
57,air
58,can't
59,live
60,can't
61,breathe
62,air
63,that's
64,feel
65,whenever
66,ain't
67,air
68,air
69,got
70,water
71,deep
72,tell
73,gon'
74,without
75,ain't
76,can't
77,breathe
78,air
79,air
80,hook
81,jordin
82,sparks
83,brown
84,air
85,air
86,oh
87,air
88,air
89,ooh
90,air
91,air
92,oh
93,ah
94,air
95,air
96,brown
97,jordin
98,sparks
99,walked
100,ran
101,jumped
102,flew
103,right
104,ground
105,float
106,there's
107,gravity
108,hold
109,real
110,somehow
111,i'm
112,still
113,alive
114,inside
115,took
116,breath
117,survived
118,know
119,even
120,care
121,pre-chorus
122,jordin
123,sparks
124,brown
125,expect
126,live
127,alone
128,oh
129,oh
130,'cause
131,world
132,revolves
133,around
134,hard
135,breathe
136,jordin
137,sparks
138,brown
139,tell
140,i'm
141,supposed
142,breathe
143,air
144,oh
145,oh
146,can't
147,live
148,can't
149,breathe
150,air
151,oh
152,oh
153,that's
154,feel
155,whenever
156,ain't
157,air
158,air
159,got
160,water
161,deep
162,deep
163,tell
164,gon'
165,without
166,without
167,yeah
168,ain't
169,can't
170,breathe
171,breathe
172,air
173,air
174,air
175,hook
176,jordin
177,sparks
178,air
179,air
180,oh
181,air
182,air
183,oh
184,air
185,air
186,whoa
187,air
188,air
189,bridge
190,jordin
191,sparks
192,brown
193,air
194,ooh
195,baby
196,oh
197,air
198,air
199,hey
200,ooh
201,air
202,oh
203,air
204,oh
205,oh
206,jordin
207,sparks
208,brown
209,tell
210,i'm
211,supposed
212,breathe
213,air
214,air
215,can't
216,live
217,can't
218,breathe
219,air
220,oh
221,whoa
222,air
223,that's
224,feel
225,whenever
226,ain't
227,breathing
228,breathing
229,air
230,air
231,got
232,water
233,deep
234,deep
235,deep
236,tell
237,gon'
238,without
239,without
240,yeah
241,can't
242,live
243,without
244,baby
245,ain't
246,can't
247,breathe
248,breathe
249,air
250,air
251,air
252,hook
253,/
254,pre-chorus
255,jordin
256,sparks
257,brown
258,air
259,air
260,expect
261,air
262,air
263,baby
264,bae
265,live
266,alone
267,air
268,air
269,oh
270,'cause
271,world
272,revolves
273,around
274,oh
275,whoa
276,whoa
277,air
278,air
279,hard
280,breathe
281,hard
282,breathe
283,oh
284,jordin
285,sparks
286,brown
287,tell
288,i'm
289,supposed
290,breathe
291,air
292,air
293,can't
294,live
295,can't
296,breathe
297,air
298,hard
299,breathe
300,that's
301,feel
302,whenever
303,ain't
304,oh
305,air
306,air
307,got
308,water
309,deep
310,tell
311,gon'
312,without
313,ain't
314,can't
315,breathe
316,air
317,air
318,hook
319,jordin
320,sparks
321,brown
322,air
323,air
324,oh
325,air
326,air
327,oh
328,oh
329,whoa
330,air
331,air
332,air
333,air
