,Bruised_Jack's Mannequin
0,i've
1,got
2,my
3,things
4,i'm
5,good
6,go
7,you
8,met
9,me
10,terminal
11,one
12,plane
13,ride
14,done
15,stood
16,like
17,statues
18,gate
19,vacation's
20,come
21,gone
22,late
23,there's
24,much
25,sun
26,i'm
27,i
28,give
29,away
30,give
31,you
32,away
33,spent
34,four
35,days
36,island
37,your
38,family's
39,old
40,hotel
41,sometimes
42,perfection
43,perfect
44,hell
45,perfect
46,hours
47,pass
48,she
49,still
50,counts
51,minutes
52,i
53,i
54,swear
55,i
56,mean
57,feel
58,like
59,like
60,every
61,inch
62,me
63,bruised
64,bruised
65,fly
66,fast
67,oh
68,pilot
69,you
70,help
71,me
72,you
73,make
74,last
75,plane
76,i
77,got
78,keep
79,steady
80,cause
81,every
82,inch
83,you
84,see
85,bruised
86,i
87,lace
88,my
89,chucks
90,i
91,walk
92,aisle
93,i
94,take
95,my
96,pills
97,babies
98,cry
99,i
100,hear
101,what's
102,playing
103,inflight
104,radio
105,every
106,word
107,every
108,song
109,i
110,ever
111,heard
112,made
113,me
114,wanna
115,stay
116,what's
117,playing
118,inflight
119,radio
120,i
121,i
122,finally
123,waking
124,hours
125,pass
126,she
127,still
128,counts
129,minutes
130,i
131,i
132,swear
133,i
134,mean
135,feel
136,like
137,like
138,every
139,inch
140,me
141,bruised
142,bruised
143,fly
144,fast
145,oh
146,pilot
147,you
148,help
149,me
150,you
151,make
152,last
153,plane
154,i
155,got
156,keep
157,steady
158,cause
159,every
160,inch
161,you
162,see
163,bruised
164,yeah
165,read
166,your
167,books
168,stay
169,late
170,nights
171,nights
172,think
173,you
174,can't
175,stop
176,bar
177,you
178,shown
179,your
180,face
181,since
182,bad
183,news
184,well
185,i'm
186,till
187,close
188,fingers
189,crossed
190,night
191,cause
192,your
193,place
194,far
195,hours
196,pass
197,hours
198,pass
199,yeah
200,yeah
201,yeah
202,yeah
203,she
204,still
205,counts
206,minutes
207,i
208,i
209,swear
210,i
211,mean
212,feel
213,like
214,like
215,every
216,inch
217,me
218,bruised
219,bruised
220,fly
221,fast
222,oh
223,pilot
224,you
225,help
226,me
227,you
228,make
229,last
230,plane
231,i
232,got
233,keep
234,steady
235,cause
236,every
237,inch
238,you
239,see
240,bruised
241,bruised
242,bruised
