,Night Terror_Laura Marling
0,i
1,woke
2,he
3,screaming
4,i'd
5,left
6,him
7,dreaming
8,i'll
9,roll
10,shake
11,him
12,tightly
13,whisper
14,want
15,you
16,oh
17,they're
18,gonna
19,fight
20,me
21,oh
22,fight
23,me
24,i
25,woke
26,bench
27,shepherd's
28,bush
29,green
30,oh
31,candle
32,my
33,chest
34,head
35,his
36,knee
37,i
38,got
39,dark
40,there's
41,one
42,park
43,hour
44,i
45,keep
46,finding
47,myself
48,oh
49,fight
50,me
51,i
52,look
53,back
54,he
55,screaming
56,i'd
57,left
58,him
59,dreaming
60,dangerous
61,feat
62,i'll
63,run
64,back
65,shake
66,him
67,tightly
68,scream
69,want
70,him
71,oh
72,they're
73,gonna
74,fight
75,me
76,oh
77,fight
78,me
79,i
80,wake
81,bench
82,shepherd's
83,bush
84,green
85,oh
86,candle
87,my
88,chest
89,head
90,his
91,knee
92,i'll
93,roll
94,hold
95,him
96,tightly
97,scream
98,you
99,want
100,him
101,oh
102,you're
103,gonna
104,fight
105,me
106,oh
107,fight
108,me
109,oh
110,fight
111,me
