,Elephant_Damien Rice
0,got
1,die
2,got
3,stop
4,got
5,lie
6,someone
7,else
8,top
9,keep
10,pinned
11,easier
12,tease
13,can't
14,paint
15,elephant
16,quite
17,good
18,may
19,cry
20,like
21,baby
22,may
23,drive
24,crazy
25,cause
26,lately
27,lonely
28,d'you
29,lie
30,take
31,i'm
32,crutch
33,pillow
34,pillow
35,case
36,easier
37,touch
38,think
39,sinned
40,fall
41,upon
42,knees
43,sit
44,within
45,picture
46,still
47,forget
48,breeze
49,may
50,rise
51,sing
52,may
53,wisely
54,cling
55,ground
56,cause
57,i'm
58,lately
59,horny
60,would
61,take
62,horny
63,bridge
64,what's
65,point
66,song
67,even
68,singing
69,already
70,gone
71,clinging
72,well
73,could
74,throw
75,could
76,live
77,without
78,could
79,could
80,strong
81,tell
82,want
83,lie
84,cause
85,got
86,die
87,outro
88,got
89,stop
90,got
91,lie
92,someone
93,else
94,top
95,keep
96,pinned
97,cause
98,easier
99,tease
100,can't
101,make
102,happy
103,quite
104,good
105,well
106,know
107,that's
108,lie
