,Katherine Kiss Me_Franz Ferdinand
0,katherine
1,kiss
2,me
3,slippy
4,little
5,lips
6,split
7,me
8,split
9,me
10,your
11,eye
12,won’t
13,hit
14,me
15,yes
16,i
17,love
18,you—
19,i
20,mean
21,i
22,i'd
23,love
24,get
25,know
26,you
27,sometimes
28,i
29,say
30,stupid
31,things
32,i
33,think—
34,i
35,mean
36,i
37,sometimes
38,i
39,think
40,stupidest
41,things
42,oh
43,you
44,ever
45,wonder
46,boy
47,feels
48,katherine
49,kiss
50,me
51,flick
52,your
53,cigarette
54,kiss
55,me
56,flick
57,your
58,eyes
59,mine
60,briefly
61,your
62,leather
63,jacket
64,lies
65,sticky
66,pools
67,cider
68,blackberry
69,you
70,glance
71,ricochet
72,every
73,alpha
74,male
75,behind
76,me
77,eyes
78,like
79,marbles
80,washing
81,machine
82,oh
83,you
84,ever
85,wonder
86,boy
87,feels
88,katherine
89,kiss
90,me
91,alleyway
92,jakeys
93,jacking
94,sodium
95,light
96,yes
97,i
98,love
99,you—
100,i
101,mean
102,i
103,i
104,mean
105,i
106,need
107,love
108,though
109,your
110,opened
111,eyes
112,stay
113,bored
114,upon
115,overflowing
116,pipes
117,me
118,tonight
119,i
120,don’t
121,mind
122,i
123,never
124,wonder
125,girl
126,feels
