,First Time_Lifehouse
0,we're
1,looking
2,something
3,we've
4,afraid
5,find
6,easier
7,broken
8,easier
9,hide
10,prechorus
11,looking
12,you
13,holding
14,my
15,breath
16,my
17,life
18,i'm
19,scared
20,death
21,i'm
22,taking
23,chance
24,letting
25,you
26,inside
27,we're
28,feeling
29,alive
30,deep
31,sky
32,my
33,skin
34,like
35,love
36,she
37,says
38,first
39,time
40,well
41,maybe
42,i'm
43,wrong
44,i'm
45,feeling
46,right
47,wherever
48,i
49,belong
50,you
51,tonight
52,like
53,love
54,feel
55,first
56,time
57,world
58,i
59,see
60,inside
61,you
62,waiting
63,come
64,life
65,waking
66,me
67,dreaming
68,reality
69,your
70,eyes
71,prechorus
72,looking
73,you
74,holding
75,my
76,breath
77,my
78,life
79,i'm
80,scared
81,death
82,i'm
83,taking
84,chance
85,letting
86,you
87,inside
88,we're
89,feeling
90,alive
91,deep
92,sky
93,my
94,skin
95,like
96,love
97,she
98,says
99,first
100,time
101,well
102,maybe
103,i'm
104,wrong
105,i'm
106,feeling
107,right
108,wherever
109,i
110,belong
111,you
112,tonight
113,like
114,love
115,feel
116,first
117,time
118,first
119,time
120,first
121,time
122,we're
123,crashing
124,unknown
125,we're
126,lost
127,feels
128,like
129,home
130,feeling
131,alive
132,deep
133,sky
134,that's
135,my
136,skin
137,like
138,love
139,she
140,says
141,first
142,time
143,well
144,maybe
145,i'm
146,wrong
147,i'm
148,feeling
149,right
150,wherever
151,i
152,belong
153,you
154,tonight
155,like
156,love
157,feel
158,first
159,time
160,first
161,time
162,first
163,time
164,like
165,love
166,she
167,says
168,first
169,time
170,first
171,time
172,first
173,time
174,like
175,love
176,feel
177,first
178,time
179,first
180,time
