,The Animals Were Gone_Damien Rice
0,woke
1,first
2,time
3,animals
4,gone
5,left
6,house
7,empty
8,sure
9,i
10,belong
11,yesterday
12,you
13,asked
14,me
15,write
16,you
17,pleasant
18,song
19,i'll
20,my
21,best
22,you've
23,gone
24,long
25,window's
26,open
27,winter
28,settles
29,we'll
30,call
31,christmas
32,adverts
33,begin
34,i
35,love
36,your
37,depression
38,i
39,love
40,your
41,double
42,chin
43,i
44,love
45,'most
46,everything
47,you
48,bring
49,offering
50,oh
51,i
52,know
53,i
54,left
55,you
56,places
57,despair
58,oh
59,i
60,know
61,i
62,love
63,you
64,please
65,throw
66,your
67,hair
68,night
69,i
70,trip
71,without
72,you
73,hope
74,i
75,wake
76,cause
77,waking
78,without
79,you
80,like
81,drinking
82,empty
83,cup
84,woke
85,first
86,time
87,animals
88,gone
89,clocks
90,ticking
91,time
92,gone
93,could
94,get
95,house
96,boxes
97,lawn
98,could
99,make
100,babies
101,accidental
102,songs
103,i
104,know
105,i've
106,liar
107,i
108,know
109,i've
110,fool
111,i
112,hope
113,break
114,yet
115,i'm
116,glad
117,broke
118,rules
119,my
120,cave
121,deep
122,yet
123,your
124,light
125,shining
126,i
127,cover
128,my
129,eyes
130,still
131,i
132,see
133,you
134,oh
135,i
136,know
137,i
138,left
139,you
140,places
141,despair
142,oh
143,i
144,know
145,i
146,love
147,you
148,please
149,throw
150,your
151,hair
152,night
153,i
154,trip
155,without
156,you
157,hope
158,i
159,wake
160,cause
161,waking
162,without
163,you
164,like
165,drinking
166,empty
167,cup
