,Heartbeats_José González
0,one
1,night
2,confused
3,one
4,night
5,speed
6,truth
7,promise
8,made
9,four
10,hands
11,away
12,influence
13,divine
14,sense
15,know
16,say
17,mind
18,razor
19,blade
20,call
21,hands
22,lean
23,good
24,enough
25,me
26,one
27,night
28,magic
29,rush
30,start
31,simple
32,touch
33,one
34,night
35,push
36,scream
37,relief
38,ten
39,days
40,perfect
41,hues
42,colors
43,red
44,blue
45,promise
46,made
47,love
48,call
49,hands
50,lean
51,good
52,enough
53,me
54,call
55,hands
56,lean
57,good
58,enough
59,you
60,you
61,knew
62,hand
63,devil
64,you
65,kept
66,us
67,awake
68,wolf
69,teeth
70,sharing
71,different
72,heartbeats
73,one
74,night
75,call
76,hands
77,lean
78,good
79,enough
80,me
81,call
82,hands
83,lean
84,good
85,enough
