,The Finish Line_Snow Patrol
0,earth
1,warm
2,next
3,ear
4,insect
5,noise
6,hear
7,magic
8,trick
9,makes
10,world
11,disappear
12,skies
13,dark
14,they're
15,dark
16,they're
17,clear
18,distant
19,motorcade
20,suddenly
21,there's
22,joy
23,snow
24,tickertape
25,blurs
26,senses
27,numb
28,like
29,finish
30,line
31,everything
32,ends
33,crack
34,radios
35,seems
36,close
37,enough
38,touch
39,cold
40,water
41,cleaning
42,wounds
43,side
44,parade
45,single
46,balloon
47,i'm
48,done
49,i'm
50,counting
51,ten
52,blue
53,seas
54,running
55,feel
56,like
57,watching
58,everything
59,space
60,minute
61,hear
62,name
63,wake
64,think
65,finish
66,line's
67,good
68,place
69,could
70,start
71,take
72,deep
73,breath
74,take
75,could
76,want
