,Summer Love_Justin Timberlake
0,part
1,summer
2,love
3,ridin'
4,drop
5,top
6,top
7,saw
8,switchin'
9,lanes
10,girl
11,pull
12,red
13,light
14,lookin'
15,right
16,come
17,let
18,get
19,name
20,girl
21,tell
22,like
23,let
24,pick
25,brain
26,girl
27,tell
28,got
29,pretty
30,little
31,face
32,pretty
33,little
34,frame
35,girl
36,let
37,show
38,'round
39,let
40,take
41,bet
42,could
43,could
44,fun
45,girl
46,cause
47,fast
48,fast
49,slow
50,whichever
51,way
52,wanna
53,run
54,girl
55,let
56,buy
57,drinks
58,better
59,yet
60,rings
61,want
62,done
63,girl
64,would've
65,thought
66,could
67,one
68,'cause
69,can't
70,wait
71,fall
72,love
73,can't
74,wait
75,fall
76,love
77,can't
78,summer
79,love
80,see
81,can't
82,summer
83,love
84,l-o-v-e
85,come
86,lemme
87,show
88,'round
89,let
90,take
91,bet
92,could
93,fun
94,girl
95,'cause
96,dress
97,dress
98,way
99,want
100,done
101,girl
102,stay
103,home
104,talkin'
105,phone
106,rappin'
107,'til
108,see
109,sun
110,girl
111,gotta
112,gotta
113,show
114,i'm
115,one
116,girl
117,well
118,i'ma
119,freak
120,right
121,every
122,night
123,know
124,insane
125,girl
126,'cause
127,make
128,hot
129,make
130,stop
131,make
132,wanna
133,say
134,name
135,girl
136,come
137,baby
138,please
139,'cause
140,i'm
141,knees
142,can't
143,get
144,brain
145,girl
146,would've
147,thought
148,could
149,one
150,'cause
151,can't
152,wait
153,fall
154,love
155,can't
156,wait
157,fall
158,love
159,can't
160,summer
161,love
162,see
163,can't
164,summer
165,love
166,l-o-v-e
167,'cause
168,can't
169,wait
170,fall
171,love
172,can't
173,wait
174,fall
175,love
176,can't
177,summer
178,love
179,see
180,can't
181,summer
182,love
183,l-o-v-e
184,bridge
185,summer's
186,us
187,summer's
188,mean
189,give
190,love
191,give
192,one
193,i've
194,thinking
195,one
196,knew
197,day
198,met
199,one
200,oh
201,can't
202,wait
203,fall
204,love
205,can't
206,wait
207,fall
208,love
209,can't
210,summer
211,love
212,see
213,can't
214,summer
215,love
216,l-o-v-e
217,'cause
218,can't
219,wait
220,fall
221,love
222,can't
223,wait
224,fall
225,love
226,can't
227,summer
228,love
229,see
230,can't
231,summer
232,love
233,l-o-v-e
234,part
235,ii
236,set
237,mood
238,prelude
239,uh
240,yeah
241,come
242,baby
243,let
244,set
245,mood
246,right
247,'cause
248,i'm
249,gon'
250,make
251,feel
252,alright
253,let
254,set
255,mood
256,right
257,'cause
258,i'm
259,gon'
260,make
261,feel
262,alright
263,gotta
264,set
265,mood
266,right
267,may
268,make
269,feel
270,alright
271,i'm
272,gon'
273,set
274,mood
275,right
276,promise
277,baby
278,you’ll
279,feel
280,alright
281,ooh
282,yeah
283,let
284,set
285,mood
286,right
287,may
288,make
289,feel
290,alright
291,'cause
292,i'm
293,gon'
294,set
295,mood
296,right
297,say
298,name
299,tonight
300,set
301,mood
302,right
303,promise
304,girl
305,you’ll
306,feel
307,alright
308,let
309,set
310,mood
311,right
312,i’ll
313,make
314,feel
315,good
316,tonight
317,ooh
318,yeah
319,uh-huh
320,outro
321,yeah
322,feels
323,good
324,it’ll
325,feel
326,good
327,let
328,set
329,mood
330,right
