,Not About Love_Fiona Apple
0,early
1,cars
2,already
3,drawing
4,deep
5,breaths
6,past
7,door
8,last
9,night's
10,phrases
11,sick
12,lack
13,basis
14,still
15,writhing
16,floor
17,hook
18,seem
19,fair
20,wicked
21,words
22,work
23,holding
24,seem
25,right
26,take
27,information
28,given
29,close
30,range
31,gag
32,bind
33,ammunition
34,round
35,conversation
36,colored
37,esteem
38,became
39,dialogue
40,diagram
41,play
42,blood
43,-
44,took
45,vacation
46,palate
47,got
48,clean
49,taste
50,agenda
51,spitting
52,cud
53,hook
54,make
55,sense
56,fall
57,kingcraft
58,meritless
59,crown
60,seem
61,right
62,take
63,information
64,given
65,close
66,range
67,gag
68,bind
69,ammunition
70,round
71,love
72,cause
73,love
74,fact
75,can't
76,stop
77,falling
78,love
79,cause
80,love
81,fact
82,can't
83,stop
84,falling
85,miss
86,stupid
87,ache
88,"""what"
89,posture
90,stare
91,"at"""
92,-
93,that's
94,said
95,sitting
96,straight
97,changed
98,name
99,game
100,cause
101,lost
102,knew
103,wrong
104,knew
105,late
106,i'm
107,fair
108,cause
109,chose
110,listen
111,filthy
112,mouth
113,i'd
114,like
115,choose
116,right
117,take
118,things
119,said
120,stole
121,put
122,'em
123,sack
124,swing
125,'em
126,shoulder
127,turn
128,heels
129,step
130,sight
131,try
132,live
133,lovelier
134,light
135,love
136,cause
137,love
138,fact
139,can't
140,stop
141,falling
142,love
143,cause
144,love
145,fact
146,can't
147,stop
148,falling
149,miss
150,stupid
151,ache
