,I Summon You_Spoon
0,remember
1,weight
2,world
3,sound
4,used
5,buy
6,cassette
7,little
8,girl
9,says
10,make
11,800
12,miles
13,drive
14,yeah
15,got
16,weight
17,world
18,coming
19,like
20,mother's
21,eye
22,give
23,cold
24,goodbye
25,law
26,enforcement's
27,impressed
28,survived
29,age
30,strappedup
31,soldiers
32,they'll
33,lock
34,cage
35,without
36,goodbye
37,nickel
38,bribe
39,oh
40,tonight
41,how'd
42,get
43,late
44,break
45,need
46,release
47,signal's
48,cough
49,get
50,summon
51,appear
52,love
53,got
54,weight
55,world
56,summon
57,love
58,remember
59,weight
60,world
61,sound
62,used
63,buy
64,give
65,cold
66,goodbye
67,got
68,weight
69,world
70,summon
71,love
72,signal's
73,cough
74,get
75,summon
76,love
