,Be Still My Heart_The Postal Service
0,running
1,late
2,work
3,change
4,shirt
5,evening's
6,drinks
7,left
8,lingering
9,taste
10,mouth
11,left
12,fast
13,asleep
14,tangled
15,sheets
16,bus
17,could've
18,sworn
19,dream
20,happen
21,felt
22,scrapes
23,slippery
24,subway
25,grate
26,oh
27,laughed
28,complete
29,lack
30,grace
31,could
32,recall
33,perfect
34,fall
35,'cause
36,looked
37,eyes
38,hurt
39,thought
40,still
41,heart
42,could
43,brand
44,new
45,start
46,clear
47,wake
48,still
49,morning
50,thought
51,still
52,heart
53,could
54,brand
55,new
56,start
57,clear
58,wake
59,still
60,morning
61,still
62,heart
63,could
64,brand
65,new
66,start
67,clear
68,wake
69,still
70,morning
