,Not Falling Apart_Maroon 5
0,ooh
1,danced
2,night
3,slept
4,day
5,careless
6,heart
7,fearless
8,comes
9,playing
10,games
11,don’t
12,cry
13,don’t
14,care
15,afraid
16,love
17,affair
18,ghost
19,really
20,can’t
21,walk
22,can’t
23,talk
24,anymore
25,since
26,walked
27,door
28,i’m
29,stuck
30,living
31,night
32,i’m
33,falling
34,apart
35,break
36,ooh
37,oh
38,weather
39,sunny
40,day
41,time
42,slows
43,wish
44,you’d
45,stay
46,pass
47,crowded
48,dark
49,hallways
50,mm
51,try
52,hardest
53,scream
54,find
55,heart
56,growing
57,weak
58,leave
59,reasons
60,bathroom
61,sink
62,can’t
63,walk
64,can’t
65,talk
66,anymore
67,since
68,walked
69,door
70,i’m
71,stuck
72,living
73,night
74,i’m
75,falling
76,apart
77,heard
78,say
79,needed
80,what’s
81,problem
82,can’t
83,see
84,destroyed
85,won’t
86,fall
87,apart
88,i’m
89,falling
90,apart
91,take
92,wanted
93,fine
94,better
95,alone
96,night
97,waiting
98,falling
99,constantly
100,calling
101,name
102,ever
103,change
104,can’t
105,walk
106,can’t
107,talk
108,anymore
109,since
110,walked
111,door
112,i’m
113,stuck
114,living
115,night
116,i’m
117,falling
118,apart
119,bridge
120,heard
121,say
122,needed
123,what’s
124,problem
125,can’t
126,see
127,destroyed
128,won’t
129,fall
130,apart
131,i’m
132,falling
133,apart
134,outro
135,oh
136,ooh
