,It's True That We Love One Another_The White Stripes
0,jack
1,white
2,&
3,holly
4,golightly
5,well
6,true
7,love
8,one
9,another
10,holly
11,love
12,jack
13,white
14,like
15,little
16,brother
17,jack
18,well
19,holly
20,love
21,there's
22,much
23,know
24,holly
25,jack
26,give
27,money
28,pay
29,bills
30,jack
31,dough
32,give
33,holly
34,using
35,pain
36,pills
37,holly
38,jack
39,call
40,able
41,jack
42,got
43,phone
44,number
45,written
46,back
47,bible
48,holly
49,jack
50,think
51,pulling
52,leg
53,think
54,maybe
55,better
56,ask
57,meg
58,meg
59,think
60,jack
61,really
62,loves
63,meg
64,white
65,know
66,care
67,cause
68,jack
69,really
70,bugs
71,ask
72,holly
73,well
74,would
75,meg
76,really
77,know
78,meg
79,say
80,“jack
81,adore
82,me”
83,jack
84,well
85,would
86,holly
87,love
88,really
89,bores
90,holly
91,&
92,jack
93,guess
94,friends
95,jack
96,i'm
97,kidding
98,holly
99,know
100,i'll
101,love
102,'til
103,end
104,jack
105,&
106,holly
107,well
108,true
109,love
110,one
111,another
112,holly
113,love
114,jack
115,white
116,like
117,little
118,brother
119,jack
120,well
121,holly
122,love
123,there's
124,much
125,know
126,jack
127,holly
128,give
129,english
130,lovin'
131,holly
132,jack
133,i'd
134,one
135,oven
136,go
137,love
138,jack
139,holly
140,anything
141,left
142,anybody
143,else
144,holly
145,jack
146,bad
147,way
148,look
149,jack
150,know
151,gave
152,horse
153,carrot
154,he'd
155,break
156,foot
157,meg
158,two
159,cut
160,tell
161,'em
162,really
163,jack
164,&
165,holly
166,well
167,true
168,love
169,one
170,another
171,holly
172,love
173,jack
174,white
175,like
176,little
177,brother
178,jack
179,well
180,holly
181,love
182,there's
183,much
184,know
185,spoken
186,outtro
187,holly
188,jack
189,good
190,jolly
191,good
192,jolly
193,good
194,yeah
195,nice
196,jolly
197,good
198,cup
199,tea
200,bruce
201,let's
202,celebrate
