,"Decatur, or, Round of Applause for Your Stepmother!_Sufjan Stevens"
0,step
1,mom
2,everything
3,hate
4,her
5,she
6,took
7,us
8,edge
9,decatur
10,saw
11,lion
12,kangaroo
13,take
14,her
15,river
16,caught
17,wild
18,alligator
19,sangamon
20,river
21,overflowed
22,caused
23,mudslide
24,banks
25,operator
26,civil
27,war
28,skeletons
29,graves
30,came
31,clapping
32,spirit
33,aviator
34,sound
35,engines
36,smell
37,grain
38,go
39,riding
40,abolition
41,grain
42,train
43,stephen
44,douglas
45,great
46,debater
47,abraham
48,lincoln
49,great
50,emancipator
51,chickenmobile
52,your
53,rooster
54,tail
55,i
56,my
57,fill
58,i
59,know
60,bad
61,feels
62,stay
63,awake
64,watch
65,data
66,small
67,caterpillar
68,go
69,congratulate
70,her
71,denominator
72,go
73,decatur
74,go
75,decatur
76,great
77,i
78,abominate
79,her
80,go
81,decatur
82,hate
83,her
84,great
85,i
86,denominator
87,go
88,decatur
89,anticipate
90,her
91,great
92,i
93,appreciate
94,her
95,appreciate
96,her
97,stand
98,thank
99,her
100,stand
101,thank
102,her
103,great
104,i
105,stand
106,thank
107,her
108,great
109,i
110,stand
111,thank
112,her
113,great
114,i
115,stand
116,thank
117,her
