,You've Got the Love_Florence + the Machine
0,sometimes
1,i
2,feel
3,like
4,throwing
5,my
6,hands
7,air
8,i
9,know
10,i
11,count
12,you
13,sometimes
14,i
15,feel
16,like
17,saying
18,lord
19,i
20,care
21,you've
22,got
23,love
24,i
25,need
26,see
27,me
28,sometimes
29,seems
30,going
31,rough
32,things
33,go
34,wrong
35,matter
36,i
37,seems
38,life
39,much
40,you've
41,got
42,love
43,i
44,need
45,see
46,me
47,food
48,gone
49,you
50,my
51,daily
52,meal
53,oh
54,friends
55,gone
56,i
57,know
58,my
59,savior's
60,love
61,real
62,you
63,know
64,real
65,'cause
66,you've
67,got
68,love
69,you've
70,got
71,love
72,you've
73,got
74,love
75,you've
76,got
77,love
78,you've
79,got
80,love
81,you've
82,got
83,love
84,time
85,time
86,i
87,think
88,oh
89,lord
90,what's
91,use
92,time
93,time
94,i
95,think
96,good
97,'cause
98,sooner
99,later
100,life
101,things
102,you
103,love
104,you
105,lose
106,you've
107,got
108,love
109,i
110,need
111,see
112,me
113,you've
114,got
115,love
116,you've
117,got
118,love
119,you've
120,got
121,love
122,you've
123,got
124,love
125,you've
126,got
127,love
128,you've
129,got
130,love
131,you've
132,got
133,love
134,you've
135,got
136,love
137,you've
138,got
139,love
140,you've
141,got
142,love
143,you've
144,got
145,love
146,you've
147,got
148,love
149,sometimes
150,i
151,feel
152,like
153,throwing
154,my
155,hands
156,air
157,'cause
158,i
159,know
160,i
161,count
162,you
163,oh
164,sometimes
165,i
166,feel
167,like
168,saying
169,lord
170,i
171,care
172,you've
173,got
174,love
175,i
176,need
177,see
178,me
