,Bless the Broken Road_Rascal Flatts
0,i
1,set
2,narrow
3,way
4,many
5,years
6,ago
7,hoping
8,i
9,would
10,find
11,true
12,love
13,along
14,broken
15,road
16,i
17,got
18,lost
19,time
20,two
21,wiped
22,my
23,brow
24,kept
25,pushing
26,i
27,see
28,every
29,sign
30,pointed
31,straight
32,you
33,every
34,long
35,lost
36,dream
37,led
38,me
39,you
40,others
41,broke
42,my
43,heart
44,like
45,northern
46,stars
47,pointing
48,me
49,my
50,way
51,your
52,loving
53,arms
54,much
55,i
56,know
57,true
58,god
59,bless
60,broken
61,road
62,led
63,me
64,straight
65,you
66,yes
67,he
68,i
69,think
70,years
71,i
72,spent
73,passing
74,i'd
75,like
76,time
77,i
78,lost
79,give
80,back
81,you
82,you
83,smile
84,take
85,my
86,hand
87,you've
88,you
89,understand
90,part
91,grander
92,plan
93,coming
94,true
95,every
96,long
97,lost
98,dream
99,led
100,me
101,you
102,others
103,broke
104,my
105,heart
106,like
107,northern
108,stars
109,pointing
110,me
111,my
112,way
113,your
114,loving
115,arms
116,much
117,i
118,know
119,true
120,god
121,bless
122,broken
123,road
124,led
125,me
126,straight
127,you
128,yeah
129,i'm
130,rolling
131,home
132,my
133,lover's
134,arms
135,much
136,i
137,know
138,true
139,god
140,bless
141,broken
142,road
143,led
144,me
145,straight
146,you
147,god
148,bless
149,broken
150,road
151,led
152,me
153,straight
154,you
155,oooh
