,Ave Maria_Beyoncé
0,lost
1,many
2,different
3,ways
4,darkness
5,guide
6,know
7,cost
8,losing
9,hand
10,grace
11,god
12,go
13,found
14,heaven
15,earth
16,last
17,first
18,hear
19,voice
20,inside
21,ave
22,maria
23,i've
24,alone
25,i'm
26,surrounded
27,friends
28,could
29,silence
30,loud
31,still
32,go
33,home
34,knowing
35,i've
36,got
37,there's
38,us
39,lights
40,go
41,heaven
42,earth
43,hunger
44,thirst
45,always
46,hear
47,voice
48,inside
49,singing
50,ave
51,maria
52,bridge
53,sometimes
54,love
55,come
56,pass
57,busy
58,making
59,plans
60,suddenly
61,hit
62,realize
63,hands
64,baby
65,got
66,understand
67,heaven
68,earth
69,last
70,first
71,hear
72,voice
73,inside
74,ave
75,maria
76,ave
77,maria
78,ave
79,maria
