,Dress Up in You_Belle and Sebastian
0,i’m
1,singer
2,i’m
3,singer
4,band
5,you’re
6,loser
7,i
8,won’t
9,dismiss
10,you
11,hand
12,you’ve
13,got
14,beautiful
15,face
16,take
17,you
18,places
19,you
20,kept
21,running
22,you’ve
23,got
24,money
25,you’ve
26,got
27,fame
28,every
29,morning
30,i
31,see
32,your
33,picture
34,train
35,you’re
36,actress
37,says
38,your
39,résumé
40,you’re
41,made
42,card
43,you
44,couldn’t
45,act
46,your
47,way
48,paper
49,bag
50,you
51,got
52,lucky
53,you
54,ain’t
55,talking
56,me
57,little
58,miss
59,plucky
60,pluck
61,your
62,eyebrows
63,crowd
64,get
65,airplane
66,you
67,give
68,me
69,stomach
70,pain
71,i
72,wish
73,you
74,would
75,lot
76,talk
77,deal
78,nearly
79,signed
80,blood
81,understanding
82,i
83,thought
84,you
85,would
86,keep
87,your
88,word
89,i’m
90,disappointed
91,i’m
92,aggravated
93,it’s
94,fault
95,i
96,i
97,know
98,things
99,don’t
100,go
101,my
102,way
103,i
104,blow
105,face
106,my
107,rivals
108,i
109,swear
110,i
111,rant
112,i
113,make
114,quite
115,arrival
116,men
117,surprised
118,language
119,act
120,discreet
121,hypocrites
122,fuck
123,i
124,always
125,loved
126,you
127,you
128,always
129,lot
130,style
131,i’d
132,hate
133,see
134,you
135,pile
136,nearlymadeits
137,you’ve
138,got
139,essence
140,dear
141,i
142,could
143,second
144,skin
145,i’d
146,probably
147,dress
148,you
149,you’re
150,star
151,i
152,fixing
153,people’s
154,nails
155,i’m
156,knitting
157,jumpers
158,i’m
159,working
160,hours
161,i’ve
162,got
163,boyfriend
164,i’ve
165,got
166,feeling
167,he’s
168,seeing
169,someone
170,else
171,he
172,always
173,thing
174,you
175,well
176,blow
177,face
178,my
179,rivals
180,i
181,swear
182,i
183,rant
184,i
185,make
186,quite
187,arrival
188,men
189,surprised
190,language
191,act
192,discreet
193,hypocrites
194,forget
195,fuck
